story_id,end,end_cons,consist,inconsH1,inconsH2,cor1,cor2,likEx
87aa0983-9b84-48b1-86ff-160b1567487c-1,None of Jane's students had a lesson that day.,no,B,Jane was a professor teaching piano to students. Two of Jane's students were early for their lessons. Jane spent the morning sipping coffee and reading a book.,Jane was a professor teaching piano to students. None of Jane's students had a lesson that day. Jane spent the morning sipping coffee and reading a book.,No,Yes,Explanation B
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,Nate spent the summer traveling and partying.,no,B,Nate had the summer off before college but he didn't spend the summer traveling and partying.,Nate had the summer off before college but he decided to spend the entire summer working in the mines.,Yes,No,Explanation B
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,Anne started losing weight and soon wasn't very hungry.,yes,B,Anne was not hungry because she was not eating carbs.,Anne wanted to bulk up so she should have eaten more carbs.,Yes,Yes,Explanation A
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,Dan adopted a pig.,yes,B,Dan's neighbors know him for having a strange pet.,Dan doesn't like people knowing about his pet pig because he is glad to have his pet pig be a part of his family.,Yes,No,Explanation A
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"After reading many books, he needed to take classes to learn hands on tactics.",no,A,A book is a good way to learn kung fu.,Reading a book is not a good way to learn kung-fu.,No,Yes,Explanation B
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,His buddy Charles was already there.,no,B,Tom and Charles were not working together.,Tom worked with his father and his friend.,Yes,Yes,Explanation A
a16ce8ce-9f32-441a-8113-6997d8988ece-1,He called someone online an asshole.,Yes,A,"The other players insulted Bob, so he was banned from the game.",Bob was playing league of legends. He called someone online an asshole. Bob was banned from the game for a month afterwards.,No,Yes,Explanation B
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,Tom's business plan made money for the hotel.,no,B,Tom's business decided to buy a franchised hotel. Tom's business plan made money for the hotel. The hotel profit grew and the business gave Tom huge bonus pay.,Tom was demoted because he had no experience.,Yes,Yes,Explanation A
903210da-9c27-4efb-b546-b3af848a153d-1,The girls become involved with ISIS.,yes,A,ISIS is a terrorist group that does not kill American citizens.,The girls were killed by ISIS because they were involved with ISIS.,No,No,Explanation B
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,beth found the fireflies dead.,no,A,The fireflies must have survived because they had eaten.,"They can survive when caught, but they are not alive.",No,No,Explanation B
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,He got away from his master and was trailing his leash.,no,A,"The Dalmatian gave me spots of my own, but I was bitten by a corgie.","I was four years old the first time I was ever bitten by a dog. He got away from his master and was trailing his leash. I tugged it, and the Dalmatian gave me some spots of my own.",No,Yes,Explanation B
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,The car was in great condition.,yes,B,We rented a car on vacation. The car was in great condition. We look forward to renting from that same car company again.,The driver was miserable and played raggae music so we would not look forward to renting from that same car company again.,Yes,Yes,Explanation A
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,I decided to get some new clothes.,no,A,"If the dresser was empty, it would not be full again.",I could not have gotten new clothes if my dresser was empty.,No,Yes,Explanation B
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,Frank's friend truck went off the road into the lake.,no,B,The truck would not be in the water if Frank was hauling bowling balls.,Frank was not in the truck when it went into the lake.,No,Yes,Explanation B
4140e766-050c-4811-887e-8b12e2be190d-1,Dan hit a pipe.,no,A,Dan was digging in his yard to put in an extension to his home.,Dan was digging in his yard to put in an extension to his home.,Yes,Yes,Explanation A
96996797-6369-4709-9841-6dae421189f6-1,Bobby singed up for a tutoring class.,yes,B,Bobby made an A on his Algebra test because he was having trouble in Algebra.,Bobby made an A on his Algebra test because he was a tutor.,No,Yes,Explanation A
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,Fran found some road kill and took it home.,no,A,She'd decided she'd make a stew out of it when she got home.,She would not take the road kill home to make a stew.,Yes,Yes,Explanation A
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,Mike decided to get a new job inside of a building.,no,B,Mike would have to be out in the cold to get a new job.,Mike would not be out in the cold anymore because he would not be spending time in the cold.,No,Yes,Explanation B
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"I determined the bad sound came from worn out spark plugs, which I then replaced.",No,B,A new engine would be more expensive than replacing the spark plugs.,My body is not a part of my race car.,Yes,No,Explanation A
22577f17-e744-4fa0-a8e7-ae764842498c-1,Gina had to use the restroom.,no,A,Gina's brothers were not in the basement.,Gin's brothers did not get stuck in the basement window.,No,No,Explanation B
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,She got there late.,No,A,Sally was not at the beach.,Sally could not go home because she was at the beach.,No,No,Explanation A
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,Julie read a flyer attached to a pole. It was about a lost dog.,yes,B,The dog was found by someone else.,A poster of a lost kitten would not be for a dog.,No,Yes,Explanation B
ff38d303-fc0d-498f-9342-e193a85cffb5-1,Jimmy got plenty of novocaine for the procedure.,yes,B,The procedure went smoothly because Jimmy had plenty of novocaine.,Jimmy was not bold. He was very scared and he did not feel a thing.,Yes,No,Explanation A
e2930580-f202-4f81-b00a-57082c17fd9c-1,She quit video games and started walking.,no,B,"Walking is a good way to lose weight, but video games are not.",Playing video games for hours every day would not help you lose weight.,Yes,Yes,Explanation B
40ceae28-9539-4b79-94b8-bc3314d479a6-1,Jorge asked his father one day for the recipe.,yes,B,Jorge has always wanted to learn his father's famous recipe for beans. Jorge asked his father one day for the recipe. Jorge is proud he has finally learned his father's recipe for beans.,"Jorge has always wanted to learn his father's famous recipe for beans. Jorge asked his father, and was taught the ingredient. Jorge is proud he has finally learned his father's recipe for beans.",Yes,Yes,Explanation A
71770122-dc12-4954-84d5-273e789321e32,Jenny rode a horse all day.,no,B,Jenny was scared of the horse but she decided to come back for another fun lesson.,Jenny rode a horse all day and decided to come back soon for another fun lesson.,No,Yes,Explanation B
dd50749a-103a-4348-80e7-f23d88bad4a9-1,he was smart and knew the information.,no,A,Evan was smart and knew the information so he didn't need to study.,Evan's classmate was accused of cheating because Evan didn't study for his test.,Yes,No,Explanation B
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,I rented a comedy instead of a horror movie.,no,B,I rented a horror movie instead of a comedy.,I watched the whole movie because I liked it.,Yes,Yes,Explanation B
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,A kid sat next to the man and spilled a drink on him intentionally.,No,A,The man was sitting on the plane. The man saw a kid that needed help there. The man reported the kid to the flight attendants.,The man was sitting on the plane. A kid sat next to the man and spilled a drink on him intentionally. The man reported the kid to the flight attendants.,Yes,Yes,Explanation B
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,Bill was told pay or you have to move.,No,A,"Bill was late on the rent, so he had to move out.","Bill was late on the rent, but he was not evicted.",Yes,Yes,Explanation A
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,Mother asked me to make chicken soup.,no,A,The soup was not pumpkin pie.,I asked my mother what she wanted me to make for Thanksgiving. Mother asked me to make chicken soup. We loved the soup!,Yes,Yes,Explanation B
23a791d7-8563-416c-8768-c29df02554bc-1,I was not able to go and buy a tree.,no,A,The tree was vibrant until it died in 2010 and we have not had a real tree since.,I was not able to go and buy a tree in 2011 and we have not had a real tree since.,No,No,Explanation B
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,Showers make me sleepy.,No,A,Showers make me sleepy so I take two of them every day.,Doing what you love is important but taking two showers every day is not.,No,Yes,Explanation B
44a68868-fdf2-4be3-93ad-86599c342dce-1,Susan listened to her doctor and realized she was lactose intolerant.,no,B,"Susan always had stomach pain since she was little. Susan listened to her doctor and realized she was lactose intolerant. She started treatment, and for the first time, felt healthy.","Susan always had stomach pain since she was little. Susan went to talk to her sister. She started treatment, and for the first time, felt healthy.",Yes,Yes,Explanation A
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,She claimed to have befriended a ghost.,"No, because a ghost is not a person.",A,"She claimed to have befriended a ghost, but she didn't.",She was wicked to everyone else but nice to me.,No,No,Explanation B
237f8984-25de-4a4c-99a8-a99219f1d605-1,Our neighbor doesn't like our cat because it gets in his yard.,No,B,The neighbor is not in our house.,Lilly is a cat and he is a boy.,No,No,Explanation A
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,My wife entered some raffles at the Christmas bazaar.,yes,B,I hope we win some raffles because I want to win some raffles.,I hope we win some raffles because I want to win some raffles.,Yes,Yes,Explanation B
8004aded-0087-4023-9f7e-745ec3242ac1-1,He saved for ten minutes for a new game.,no,A,Liam was very proud of himself for saving his money for ten minutes.,Liam was very proud of himself for saving his money for a new video game.,No,Yes,Explanation B
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1,Kelly was ejected for punching another player.,No,A,"Kelly was able to score two goals at the beginning. It was a close game, but without Kelly, the team was unable to win.","Kelly was ejected for punching another player, but she was not the only player on the team.",Yes,No,Explanation A
7e890b79-8562-4a6a-bf77-529ee329742a-1,His friends felt bad and gave them some of their food.,No,B,Adam's friends were not generous.,Adam's friends did not eat lunch for him.,No,No,Explanation B
22dfb240-ff3c-4135-9e91-444e44ec1228-1,Mark plays guitar everyday.,no,A,Mike practices his guitar every day.,Mark likes to play guitar but he doesn't play everyday.,Yes,Yes,Explanation B
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1,"so she found an envelope on the ground, but didnt want it.","No, because if she didn't want it, she would have accepted it.",B,Tina's parents gave her money because they felt sorry for her.,Tina would not have wanted the envelope if she was broke.,Yes,Yes,Explanation A
da41ccbd-0303-40c2-a26e-9a718a278df9-1,Mary hit a mailbox and damaged her front quarter panel.,No,A,Mary was driving home one night after work. Mary hit a mailbox and damaged her front quarter panel. Mary was very sad that she would have to pay for a repair.,Mary was driving home one night after work. Mary hit a red light and damaged her front quarter panel. Mary was very sad that she would have to pay for a repair.,Yes,Yes,Explanation A
2333fbe7-309c-413d-8cd4-67ce80eaca90-1,It was Jon's turn to bat.,no,A,People knew of Jon's ability but he didn't hit a walk off home run.,A shortstop is not a good hitter.,No,no,Explanation A
d0c35739-190f-4945-8bfa-b700c6889a1b-1,Randy was trying Indian food for the first time.,no,A,The food was not good if Randy did not enjoy it.,"Randy had eaten Indian food before, he just had never eaten anything so good before.",Yes,Yes,Explanation B
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1,Harry saw a girl he liked.,no,A,Harry met no one at the sock. He talked with her instead and made a good friend.,Harry went to the sock every day to relax and watch the sunset.,No,No,Explanation B
89e7a088-44f7-4180-b8fe-7e150e962a38-1,The crowd was watching two people singing.,yes,B,The crowd was watching two people singing and fighting broke out in the crowd.,The fights broke out in the crowd because of the aguement on the street.,Yes,Yes,Explanation B
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1,The promotion was unexpected.,Yes.,B,I was promoted to her job because she quit.,I am getting horrible insults by workers so I guess that's bad.,Yes,No,Explanation A
1d1c4d93-6915-4282-844c-83ae6a375840-1,He was sorry for taking so long to pay the money back.,no,A,"The cookies were not homemade, they were bought from a shop.","We were not sharing cookies, we were sharing our cookies.",Yes,No,Explanation B
fca2884b-c607-4b59-a086-2ba021ca0d53-1,We had a lot of fun in New York.,no,A,We cannot go back to Jamaica because we are already there.,We went to Jamaica and we cannot wait to go back.,No,Yes,Explanation B
87c3e711-0f34-4620-b1d7-c33436b52546-1,but I slipped and bruised my arm.,Yes is the answer.,A,I was playing on top of the monkey bars one day. but I slipped and bruised my arm. I had to go to the hospital.,I was playing on top of the monkey bars one day. I fell off and broke my arm. I had to go to the hospital.,Yes,Yes,Explanation B
6bdd3686-e49e-4e83-869d-bed942e3e83d-1,Michael had a bad trip to the casino.,no,B,Michael always loved to gamble. Michael had a bad trip to the casino. Michael lost all of his money and had to go home broke.,Michael can't win big at the slot machine if he lost all of his money.,Yes,Yes,Explanation A
2739d4b2-9721-4239-a6ff-6e04d45c4bbe-1,"I did not wait to get going, I just jumped in.",No,B,"I woke up so excited. I did not wait to get going, I just jumped in. I grabbed my backpack and step into the unknown.","Today was just another day, so I did not step into the unknown.",Yes,No,Explanation A
5667a8aa-a8e0-4055-bdf9-8815e6fe1145-1,The coffee pot broke and I had to replace it.,no,A,I used to make coffee in the middle of my mourning routine.,The coffee pot broke so I had to replace it.,No,Yes,Explanation B
4a68a83f-5da7-4b52-95f4-a6aeaa33927b-1,Kelly met one direction.,no,A,"Kelly was excited to attend a one direction concert. Kelly met one direction. Just as she thought, they were super nice.","Kelly was excited to attend a one direction concert. Kelly wanted backstage passes to meet the band. Just as she thought, they were super mean.",Yes,No,Explanation A
8cd5c023-1bd7-4821-bd29-26bb06a35ddf2,They went to see animals at the shelter but couldn't decide.,no,A,They couldn't decide on an animal at the zoo but they could at the shelter.,They went to see animals at the shelter but couldn't decide. They left the shelter without an animal.,Yes,Yes,Explanation B
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d31,I threw up from the pumpkin bars once.,no,A,I threw up the pumpkin bars many times. I never ate pumpkin bars after that day.,"I threw up from the pumpkin bars once, but I still ate pumpkin bars after that day.",Yes,Yes,Explanation A
03e9bbf0-9783-4c1a-b00c-625d3a59805d-1,Mike felt really lonely while eating.,"No, because he was alone at home.",B,Mike went back home for lunch. Mike felt really lonely while eating. He ate his slice on the couch in the dark in silence.,Mike ate his slice on the couch in the dark in silence.,Yes,No,Explanation B
0f797de2-3d82-46d1-a370-c278a36ad7851,Megan wants to stop doing drugs for her family.,no,B,Megan has been struggling with a drug habit for years.,Megan was able to get off drugs after some time.,Yes,Yes,Explanation B
bf8b9f77-692d-4873-a7e5-30dec273eb4d2,May chose her classes carefully.,no,A,May was accepted to college in Fredonia. May chose her classes carefully. She even liked all of her professors.,May was accepted to college in Fredonia. May toured the city during the summer and was very impressed. She even liked all of her professors.,Yes,Yes,Explanation B
963d3ae8-43ee-424f-afd2-9d225624201f-1,Toni drank some tea and went to bed late.,no,A,If she had trouble sleeping she would not have slept well.,Toni had trouble sleeping but she had the best sleep she had in a long time.,Yes,No,Explanation B
