ID,Sky,Temperature,Precipitation,Wind,Animal,Place,CSW,CSS,CSS_and,CSS_or,CSS_both,CSP,CSP_simple,CSP_know,CSP_gen,CSP_pizza,CSP_drizzle,CSP_shower,S1,S2,CSA,T5,Falcon
0,overcast,6,4,23,bird,city,There is wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is wind 23 km/h. There is smog. There is rain 4 mm/h. The temperature is 6 °C.,There is smog. There is rain 4 mm/h. The temperature is 6 °C.,"Tomorrow in the city there is wind 23 km/h, smog, rain 4 mm/h and temperature 6 °C.","
Tomorrow in the city, there will be wind at 23 km/h. There will be smog. There will be rain at 4 mm/h. The temperature will be 6 °C."
1,clear,-6,5,0,fish,mountains,There is no wind,The sky is clear,The sky is clear,The sky is clear,The sky is clear,There is snow,There is snow,There is snow,There is no snow.,There is snow,There is snow,There is snow,"P, S, T, W",There is snow 5 mm/h. The temperature is -6 °C. The sky is clear. There is no wind 0 km/h.,There is snow 5 mm/h. The temperature is -6 °C. The sky is clear.,"Tomorrow in the mountains there is snow 5 mm/h, the temperature is -6 °C, the sky is clear and there is no wind 0 km/h.","
Tomorrow on the mountains, there will be snow with a thickness of 5 mm. The temperature will be -6 °C, and the sky will be clear. There will be no wind."
2,overcast,28,12,54,cat,mountains,There is strong wind,The sky is overcast,There is mist,The sky is overcast,There is mist,There is storm.,There is rain.,There is rain.,There will be snow.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 28 °C. The sky is overcast. There is storm. 12 mm/h. There is strong wind 54 km/h.,The temperature is 28 °C. The sky is overcast. There is storm. 12 mm/h. There is strong wind 54 km/h.,The temperature will be 28 °C. The sky will be overcast. There will be storm. The rain will fall 12 mm/h. The wind will blow 54 km/h.,"
Tomorrow, on the mountains, the temperature will be 28 °C. The sky will be overcast, and there will be a storm. The wind will be 12 mm/h. There will be strong winds at 54 km/h."
3,overcast,17,3,58,cat,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 17 °C. There is smog. There is rain 3 mm/h. There is strong wind 58 km/h.,The temperature is 17 °C. There is smog. There is rain 3 mm/h. There is strong wind 58 km/h.,"Tomorrow in the city there is smog, rain 3 mm/h, strong wind 58 km/h.","
The weather forecast for tomorrow in the city is: Expect partly cloudy skies with a high of 17°C and light rain. There will be a gentle breeze blowing at 58km/h."
4,cloudy,8,12,0,bird,city,There is no wind,There is smog,There is smog,There is smog,There is smog,There is rain,There is rain.,There is rain.,There will be rain and snow.,There is rain.,There is rain.,There is rain.,"W, S, P, T",There is no wind 0 km/h. There is smog. There is rain 12 mm/h. The temperature is 8 °C.,There is no wind 0 km/h. There is smog. There is rain 12 mm/h. The temperature is 8 °C.,Tomorrow in the city there is no wind 0 km/h. There is smog. There is rain 12 mm/h. The temperature is 8 °C.,"
Tomorrow in the city, there will be no wind at 0 km/h. There will be smog. There will be rain at a rate of 12 mm/h. The temperature will be 8 °C."
5,overcast,5,0,54,bird,city,There is strong wind,There is smog,There is smog,There is smog,There is smog,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"W, S, P, T",There is strong wind 54 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,There is strong wind 54 km/h. There is smog. There is no rain and no snow 0 mm/h. The temperature is 5 °C.,"
Tomorrow in the city, there will be strong wind at 54 km/h. There will be smog, but no rain or snow. The temperature will be 5 °C."
6,overcast,9,0,56,fish,meadows,There is strong wind.,The sky is overcast,The sky is overcast,The sky is overcast,The sky is overcast,There is no rain and no snow,There is no rain and no snow.,There is no rain and no snow.,No snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"S, P, T, W",The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 9 °C. There is strong wind 56 km/h.,The sky is overcast. There is no rain and no snow 0 mm/h. The temperature is 9 °C.,The sky is overcast. The temperature is 9 °C. The wind is strong.,"
Tomorrow on the meadows, the sky will be overcast with no rain or snow. The temperature will be 9°C, and there will be a strong wind blowing at 56 km/h."
7,overcast,28,9,24,cat,beach,There is wind,There is mist,There is mist,There is mist,There is mist,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"T, S, P, W",The temperature is 28 °C. There is mist. There is rain 9 mm/h. There is wind 24 km/h.,The temperature is 28 °C. There is mist. There is rain 9 mm/h.,Tomorrow in/on the beach the temperature is 28 °C. There is mist. There is rain 9 mm/h. There is wind 24 km/h.,"
The weather forecast for tomorrow on the beach is for partly cloudy skies with a temperature of 28 °C. There will be a chance of rain with 9 mm/h, and a gentle breeze blowing at 24 km/h."
8,cloudy,29,18,16,fish,city,There is no wind,There is smog,The sky is cloudy,There is smog,The sky is cloudy,There is rain,There is rain.,There is rain.,There will be rain.,There is rain.,There is rain.,There is rain.,"S, P, T, W","S, P, T, W","S, P, T","Tomorrow in the city S, P, T, W.","
The weather in the city tomorrow will be mostly sunny with a chance of showers in the afternoon."
9,overcast,2,0,32,cat,meadows,There is wind,The sky is overcast,There is mist,The sky is overcast,There is mist,There is no rain and no snow,There is no rain and no snow,There is no rain and no snow.,There is no snow.,There is no rain and no snow.,There is no rain and no snow.,There is no rain and no snow.,"T, S, P, W",The temperature is 2 °C. The sky is overcast. There is no rain and no snow 0 mm/h. There is wind 32 km/h.,The temperature is 2 °C. The sky is overcast. There is no rain and no snow 0 mm/h. There is no wind 32 km/h.,The temperature will be 2 °C. The sky will be overcast. There will be no rain and no snow. The wind will be 32 km/h.,"
The weather forecast for tomorrow is: Expect a mild day with a temperature of 2 °C on the meadows. The sky will be overcast, providing little to no sunlight. There will be no rain or snow, and the wind will be at a moderate 32 km/h."
