story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1," A. Two of Jane's students were early for their lessons.
Explanation: Jane was a professor teaching piano to students. Jane spent the morning sipping coffee and reading a book. Two of Jane's students were early for their lessons.
Context: Jane was a professor teaching piano to students."
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1," A. Nate spent the summer traveling and partying.
Hypotheses: A. Nate spent the summer traveling and partying. B. Nate decided to spend the entire summer working in the Mines.
Answer: A. Nate spent the summer traveling and partying.
Hypotheses"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1," A. Anne started losing weight and soon wasn't very hungry.
Hypotheses: A. Anne started losing weight and soon wasn't very hungry. B. She wanted to bulk up.
Answer: A. Anne started losing weight and soon wasn't very hungry.
Hyp"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1," A. Dan adopted a pig.
Explanation: Dan's neighbors know him for having a strange pet. Dan is glad to have his pet pig be a part of his family.
Context: Dan's neighbors know him for having a strange pet. Dan is glad to have his pet pig be a"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1," A. Jason found a cartoon book at the library.
Explanation: Jason found a cartoon book at the library. He was looking for a book that would help him learn kung-fu. He found a book that was a cartoon. He was able to learn kung-fu from the book.
"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1," A. His buddy Charles was already there.
The task is to select the most probable hypothesis given the context and give a basic explanation.
Context: Tom applied for a job at a call center. Tom and his friend had a lot of fun working together.
Hypotheses: A. His buddy Charles"
a16ce8ce-9f32-441a-8113-6997d8988ece-1," A. Some of the other players insulted Bob.
The task is to select the most probable hypothesis.
Context: Bob was playing league of legends. Bob was banned from the game for a month afterwards.
Hypotheses: A. Some of the other players insulted Bob. B. He called"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1," A. Tom's business plan made money for the hotel.
Explanation: Tom's business plan made money for the hotel.
Hypotheses: A. Tom's business plan made money for the hotel. B. Because of no experience, Tom was demoted to another position.
"
903210da-9c27-4efb-b546-b3af848a153d-1," A. The girls were killed by ISIS.
The context is two girls have boyfriends in ISIS. ISIS killed them.
The hypothesis is that the girls were killed by ISIS.
The explanation is that ISIS killed the girls.
The context is two girls have boyfriends in ISIS. ISIS killed them.
"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1," A. Beth found the fireflies had eaten.
The context is that Beth caught two fireflies in a jar. The hypothesis is that they never survive when caught.
The context is that Beth caught two fireflies in a jar. The hypothesis is that they never survive when caught.
The context is that Beth"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1," A. I had a corgie bite, causing me hallucinations.
The first hypothesis is the most probable. The second hypothesis is not probable.
Context: I was four years old the first time I was ever bitten by a dog. I tugged it, and the Dalmatian gave me some"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52," A. The car was in great condition.
Hypotheses: A. The car was in great condition. B. The driver was so miserable and played raggae music.
Answer: B. The driver was so miserable and played raggae music.
Hypotheses: A"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1," A. I went shopping and bought more groceries.
Hypotheses: A. I went shopping and bought more groceries. B. I decided to get some new clothes.
Answer: A. I went shopping and bought more groceries.
Hypotheses: A"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1," A. One of the balls came loose and he lost control of the truck.
The task is to select the most probable hypothesis given the context and give a basic explanation.
Context: Frank was hauling bowling balls in his truck. Frank screamed as he tumbled into the water.
Hypotheses"
4140e766-050c-4811-887e-8b12e2be190d-1," A. Dan hit a pipe.
The context is that Dan was digging in his yard to put in an extension to his home. When he sniffed the air he realized he'd struck a sewage pipe.
The hypotheses are that A. Dan hit a pipe. B. Dan's sho"
96996797-6369-4709-9841-6dae421189f6-1," A. Bobby signed up for a tutoring class.
Explanation: Bobby was having trouble in Algebra. On Monday, Bobby made an A on his Algebra test. Bobby was having trouble in Algebra. On Monday, Bobby made an A on his Algebra test. Bobby was having trouble in Al"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1," A. Along the winding lane she saw apple trees.
The context is the lane. The hypothesis is that she saw apple trees.
The context is the lane. The hypothesis is that she saw apple trees.
The context is the lane. The hypothesis is that she saw apple trees.
The context is the"
