story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,"
The simple explanation is: Jane was a professor teaching piano to students.
The simple explanation is"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,"
The simple explanation is: Nate spent the summer working in the Mines.
The simple explanation is"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,"
The simple explanation is: Anne decided to cut out carbs from her diet. After a few weeks"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,"
The explanation is: Dan's neighbors know him for having a strange pet. Dan is glad"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"
The explanation is: Jason found a cartoon book at the library.
The explanation is: Jason"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,"
The simple explanation is: Tom and his friend Charles worked together.
The simple explanation is:"
a16ce8ce-9f32-441a-8113-6997d8988ece-1,"
The explanation is: A.
The explanation is: B.
The explanation is: A"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,"
The simple explanation is: A. Tom's business plan made money for the hotel.
"
903210da-9c27-4efb-b546-b3af848a153d-1,"
The simple explanation is: The boyfriends were american citizens.
The abductive reasoning task is"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,"
The simple explanation is: Beth found the fireflies had eaten.
The simple explanation is the"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,"
The simple explanation is: I was four years old the first time I was ever bitten by a"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,"
The simple explanation is: The car was in great condition.
The abductive reasoning task is"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,"
The simple explanation is: I went shopping and bought more groceries.
The simple explanation is the"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,"
The simple explanation is: Frank's friend truck went off the road into the lake.
"
4140e766-050c-4811-887e-8b12e2be190d-1,"
The context is: Dan was digging in his yard to put in an extension to his home."
96996797-6369-4709-9841-6dae421189f6-1,"
The simple explanation is: Bobby signed up for a tutoring class.
The simple explanation is:"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,"
The simple explanation is: Fran drove along the winding lane. She'd decided she'd"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,"
The simple explanation is: Mike decided to be outside in the cold.
The simple explanation is"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"
The context is: My race car sounded like it needed a new engine. My engine ran great"
22577f17-e744-4fa0-a8e7-ae764842498c-1,"
The simple explanation is: Gin's brothers got stuck in the basement window.
The simple"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,"
The simple explanation is: Sally saw her friend ally at the beach.
The abductive reasoning"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,"
The simple explanation is: Julie read a flyer attached to a pole. It was about a lost"
ff38d303-fc0d-498f-9342-e193a85cffb5-1,"
The simple explanation is: Jimmy was very bold.
The simple explanation is: Jimmy was very"
e2930580-f202-4f81-b00a-57082c17fd9c-1,"
The simple explanation is: She quit video games and started walking.
The simple explanation is:"
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"
The explanation is: Jorge asked his father one day for the recipe.
The explanation is:"
71770122-dc12-4954-84d5-273e789321e32,"
The simple explanation is: Jenny was scared of the horse.
The simple explanation is: Jenny"
dd50749a-103a-4348-80e7-f23d88bad4a9-1,"
The explanation is: A. he was smart and knew the information.
The explanation is:"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,"
The explanation is: I wanted to do something different.
The explanation is simple.
The"
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,"
The simple explanation is: The man saw a kid that needed help there.
The simple explanation"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,"
The simple explanation is: Bill was late on the rent. He had to move out within the"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,"
The simple explanation is: Mother asked me to make chicken soup.
The simple explanation is:"
23a791d7-8563-416c-8768-c29df02554bc-1,"
The simple explanation is: I was not able to go and buy a tree.
The simple"
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,"
The explanation is: I love taking long warm showers. That's why I take two of"
44a68868-fdf2-4be3-93ad-86599c342dce-1,"
The explanation is: Susan listened to her doctor and realized she was lactose intolerant.
The"
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,"
The simple explanation is: She was a wicked woman.
The abductive reasoning task is to"
237f8984-25de-4a4c-99a8-a99219f1d605-1,"
The simple explanation is: A. Our neighbor doesn't like our cat because it gets in"
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,"
The simple explanation is: My wife entered some raffles at the Christmas bazaar.
The"
8004aded-0087-4023-9f7e-745ec3242ac1-1,"
The simple explanation is: Liam saved for ten minutes for a new game.
The simple explanation"
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1,"
The simple explanation is: Kelly was able to score two goals at the beginning.
The simple"
7e890b79-8562-4a6a-bf77-529ee329742a-1,"
The task is to choose the more likely explanation from a given pair of hypotheses choices. And give"
22dfb240-ff3c-4135-9e91-444e44ec1228-1,"
The explanation is: Mark practices his guitar everyday.
The explanation is: Mark practices his guitar"
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1,"
The simple explanation is: Tina's parents felt sorry for her.
The simple explanation is"
da41ccbd-0303-40c2-a26e-9a718a278df9-1,"
The simple explanation is: Mary hit a mailbox and damaged her front quarter panel.
The simple"
2333fbe7-309c-413d-8cd4-67ce80eaca90-1,"
The explanation is: Jon was able to hit the ball out of the park because he was able"
d0c35739-190f-4945-8bfa-b700c6889a1b-1,"
The simple explanation is: Randy did not enjoy the food.
The simple explanation is the one"
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1,"
The simple explanation is: Harry met no one at the sock.
The simple explanation is:"
89e7a088-44f7-4180-b8fe-7e150e962a38-1,"
The simple explanation is: The crowd was watching two people singing.
The simple explanation is:"
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1,"
The explanation is: A. I was promoted because I was doing a good job. B."
1d1c4d93-6915-4282-844c-83ae6a375840-1,"
The simple explanation is: A. He stole the cookies.
The simple explanation is: A"
fca2884b-c607-4b59-a086-2ba021ca0d53-1,"
The simple explanation is: We had a lot of fun in New York.
The simple explanation"
87c3e711-0f34-4620-b1d7-c33436b52546-1,"
The simple explanation is: I fell off and broke my arm.
The context is: I"
6bdd3686-e49e-4e83-869d-bed942e3e83d-1,"
The simple explanation is: Michael lost all of his money because he had a bad trip to the"
2739d4b2-9721-4239-a6ff-6e04d45c4bbe-1,"
The simple explanation is: I did not wait to get going, I just jumped in.
"
5667a8aa-a8e0-4055-bdf9-8815e6fe1145-1,"
The simple explanation is: I used to make coffee in the middle of my mourning routine.
"
4a68a83f-5da7-4b52-95f4-a6aeaa33927b-1,"
The simple explanation is: Kelly met one direction.
The simple explanation is: Kelly wanted backstage"
8cd5c023-1bd7-4821-bd29-26bb06a35ddf2,"
The simple explanation is: They went to see animals at the zoo but couldn't decide."
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d31,"
The simple explanation is: I threw up the pumpkin bars many times.
The simple explanation is"
03e9bbf0-9783-4c1a-b00c-625d3a59805d-1,"
The simple explanation is: Mike felt lonely while eating.
The simple explanation is: Mike found"
0f797de2-3d82-46d1-a370-c278a36ad7851,"
The simple explanation is: Megan wants to stop doing drugs for her family.
The simple explanation"
bf8b9f77-692d-4873-a7e5-30dec273eb4d2,"
The simple explanation is: May chose her classes carefully.
The simple explanation is: May toured"
963d3ae8-43ee-424f-afd2-9d225624201f-1,"
The simple explanation is: Toni had trouble sleeping. She had the best sleep she had in a"
5348daea-021f-4210-92ae-a0a52b576705-1,"
The abductive reasoning task is to choose the more likely explanation from a given pair of hypotheses choices"
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d32,"
The explanation is: My mother taught me how to make the fruitcake using her recipe.
"
547e9231-6b71-4cd3-8a82-0d597c315a4a-1,"
The simple explanation is: James grew up and started a bookstore.
The simple explanation is:"
be0c5b83-6c8d-40a3-8e0e-e2d9f159f419-1,"
The simple explanation is: Shawn burned down his house.
The simple explanation is: Shawn decided"
8cd70d09-7bad-44ce-8681-101645b5e825-1,"
The simple explanation is: Francis met a person at the park.
The simple explanation is:"
76fcb242-5a93-4526-a0d0-1e1daaa6c704-1,"
The simple explanation is: Stacey and her mom ate cookies.
The simple explanation is: Stacey"
36a44b73-6d19-4fee-bd61-fc600e874248-1,"
The simple explanation is: I was alone.
The context is: Today I took my jeep"
67041fdb-5cfa-48f4-9ab9-130a7b1be603-1,"
The simple explanation is: Susan steered to get out of the way of a dog.
"
59888f4b-4a47-45cc-aaa6-c4a7a7dfe8dc-1,"
The explanation is: A. I brought her home a cat because I couldn't afford to"
18911d29-c93d-4721-aaee-4d395926e7a8-1,"
The simple explanation is: Gina wanted to walk home with Jamie to help him.
The simple"
cd2880c6-3e1c-41c5-854d-3b73e2a0ebe21,"
The abductive reasoning task is to choose the more likely explanation from a given pair of hypotheses choices"
106f0b8f-a795-4388-9f40-fe7134bc2946-1,"
The simple explanation is: Dave learned not to play mean tricks.
The context is: Dave"
bc18f305-4f3b-4296-a5ff-702dd706322c1,"
The simple explanation is: Emily's child walked closer to the lions because Emily was excited to"
a10dc43b-43f8-4702-8286-c20d23b68336-1,"
The simple explanation is: Earl could not go to bed early as he enjoyed staying up.
"
20976b75-b949-4b8a-be45-c733eb7f6539-1,"
The simple explanation is: Reggie looked in the fridge and found eggs.
The simple explanation"
bf8b9f77-692d-4873-a7e5-30dec273eb4d1,"
The simple explanation is: May dropped out of school because she missed her boyfriend and family.
"
95bb42a0-a3f4-462a-8264-329cb40c772d-1,"
The simple explanation is: Jill wanted to see bunnies.
The simple explanation is: Jill"
0d976432-4844-4b5a-b9e0-7af3c174848e-1,"
The explanation is: A. He saw a horrible crime.
The explanation is: B."
c8ac86f3-0c8d-430f-96a8-d1374c9c37ff-1,"
The context is: Jan's boss won't stop hitting on her. They fool her"
84c4e8a7-a4b4-4ae9-b9a0-9905ea57bc54-1,"
The simple explanation is: Walt wanted some ice cream, so he went to the store to get"
b751714c-5e34-43ac-8e70-c675bddc613c-1,"
The abductive reasoning task is to choose the more likely explanation from a given pair of hypotheses choices"
b95911a4-c63d-4ec9-ac5b-37c8b579fcd2-1,"
The simple explanation is: Nate was preoccupied with his pregnant girlfriend.
The context is:"
9ea7e913-c437-47e6-9b53-2bf8b324f7e2-1,"
The simple explanation is: A. The woman was wearing professional clothes and fancy shoes.
The"
