story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1," Scenario A is more likely than scenario B.
Scenario A: Jane was a professor teaching piano to students. Two of Jane's students were early for their lessons. Jane spent the morning sipping coffee and reading a book.
Scenario B: Jane was a professor teaching piano to students"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1," Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence.
Scenario A is more likely.
Scenario B is more likely.
Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1," Scenario A is more likely.
Scenario A: Anne decided to cut out carbs from her diet. Anne started losing weight and soon wasn't very hungry. After a few weeks she did not even miss carbs at all!
Scenario B: Anne decided to cut out carbs"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1," Scenario A is more consistent with the information given.
Scenario B is more consistent with the information given.
Scenario A is more likely to be true.
Scenario B is more likely to be true.
Scenario A is more consistent with the information given.
Sc"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1," Scenario A is more consistent and more likely.
Scenario A: Jason wants to learn kung fu. Jason found a cartoon book at the library. Jason realized that reading a book is not a good way to learn kung-fu.
Scenario B: Jason wants to learn kung"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1," Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B"
a16ce8ce-9f32-441a-8113-6997d8988ece-1," Scenario A is more likely.
Scenario A: Bob was playing league of legends. Some of the other players insulted Bob. Bob was banned from the game for a month afterwards.
Scenario B: Bob was playing league of legends. He called someone online an asshole. Bob was"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1," Scenario A is more likely to be true.
Scenario B is more likely to be true.
Scenario A: Tom's business decided to buy a franchised hotel. Tom's business plan made money for the hotel. The hotel profit grew and the business gave Tom huge bonus pay"
903210da-9c27-4efb-b546-b3af848a153d-1," Scenario A is more consistent and more likely.
Scenario A: Two girls have boyfriends in isis. the boyfriends were american citizens. ISIS killed them.
Scenario B: Two girls have boyfriends in isis. The girls become involved with ISIS. ISIS killed them.
"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1," Scenario A is more consistent and more likely.
Scenario A: Beth caught two fireflies in a jar. Beth found the fireflies had eaten. It turned out they never survive when caught.
Scenario B: Beth caught two fireflies in a jar. beth found the fireflies"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1," Scenario A is more consistent with the evidence.
The reasoning task is to choose the more consistent and more likely scenario from a given pair of scenarios.
The reasoning task is to choose the more consistent and more likely scenario from a given pair of scenarios.
The reasoning task is to choose the more consistent and"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52," Scenario A is more consistent with the information given.
Scenario B is more consistent with the information given.
Scenario A is more likely to be true.
Scenario B is more likely to be true.
Scenario A is more consistent with the information given.
Sc"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1," Scenario A is more likely than scenario B.
Scenario A: I noticed my dresser was getting empty. I went shopping and bought more groceries. My dresser was completely full once again.
Scenario B: I noticed my dresser was getting empty. I decided to get"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1," Scenario A is more likely.
Scenario A: Frank was hauling bowling balls in his truck. Frank's friend truck went off the road into the lake. Frank screamed as he tumbled into the water.
Scenario B: Frank was hauling bowling balls in his truck."
4140e766-050c-4811-887e-8b12e2be190d-1," Scenario A is more likely than scenario B.
Scenario A: Dan was digging in his yard to put in an extension to his home. Dan hit a pipe. When he sniffed the air he realized he'd struck a sewage pipe.
Scenario B: Dan was digging"
96996797-6369-4709-9841-6dae421189f6-1," Scenario A is more consistent and more likely.
Scenario A: Bobby was having trouble in Algebra. Bobby singed up for a tutoring class. On Monday, Bobby made an A on his Algebra test.
Scenario B: Bobby was having trouble in Algebra. His mom"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1," Scenario A is more likely than scenario B.
Scenario A: Fran drove along the winding lane. Along the winding lane she saw apple trees. She'd decided she'd make a stew out of it when she got home.
Scenario B: Fran drove along the winding lane."
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1," Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1," Scenario A is more likely to be true.
Scenario A: My race car sounded like it needed a new engine. I determined the bad sound came from worn out spark plugs, which I then replaced. My engine ran great again and I save money.
Scenario B: My race"
22577f17-e744-4fa0-a8e7-ae764842498c-1," Scenario A is more likely than scenario B.
Scenario A: Gin's climbed through a window to get into her house. Gin's brothers got stuck in the basement window. Gin's brothers raced each other to the one in the basement.
Scenario B: Gin's"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1," Scenario A is more consistent and more likely.
Scenario A: Today Ally went to the beach. She got there late. Sally had to go home.
Scenario B: Today Ally went to the beach. Sally saw her friend ally at the beach. Sally had to go home"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1," Scenario A is more likely than scenario B.
Scenario A: Julie decided to go out for a walk. Julie read a flyer attached to a pole. It was about a lost dog. During her walk Julie found the dog and returned it to it's owner.
Scenario B"
ff38d303-fc0d-498f-9342-e193a85cffb5-1," Scenario A is more likely.
Scenario A: Jimmy had to get a root canal. Jimmy got plenty of novocaine for the procedure. He did not feel a thing and the procedure went smoothly.
Scenario B: Jimmy had to get a root canal. Jimmy was very bold."
e2930580-f202-4f81-b00a-57082c17fd9c-1," Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence.
Scenario A is more likely.
Scenario B is more likely.
Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence"
40ceae28-9539-4b79-94b8-bc3314d479a6-1," Scenario A is more likely than scenario B.
Scenario A: Jorge has always wanted to learn his father's famous recipe for beans. Jorge asked his father one day for the recipe. Jorge is proud he has finally learned his father's recipe for beans.
Scenario B: Jorge"
71770122-dc12-4954-84d5-273e789321e32," Scenario A is more consistent and more likely.
Scenario A: Jenny wanted to learn how to ride a horse. Jenny was scared of the horse. She decided to come back soon for another fun lesson.
Scenario B: Jenny wanted to learn how to ride a horse. Jenny rode a"
dd50749a-103a-4348-80e7-f23d88bad4a9-1," Evan was smart and knew the information. Evan got an A on the test but his classmate was accused of cheating.
Scenario A: Evan forget to study for his math test. Evan took his test by himself. Evan got an A on the test but his classmate was accused of cheating.
Sc"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1," Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence.
Scenario A is more likely.
Scenario B is more likely.
Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence"
b3af4672-cc20-4816-84c9-6fd833b9beb1-1," Scenario A is more consistent and more likely.
Scenario A: The man was sitting on the plane. The man saw a kid that needed help there. The man reported the kid to the flight attendants.
Scenario B: The man was sitting on the plane. A kid sat next"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1," Scenario A is more consistent with the evidence.
Scenario A: Bill was late on the rent. Bill gave the landlord a notice to vacate. He had to move out within the month.
Scenario B: Bill was late on the rent. Bill was told pay or you have to"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1," Scenario A is more likely.
Scenario A: I asked my mother what she wanted me to make for Thanksgiving. She said I could try making pumpkin pie. We loved the soup!
Scenario B: I asked my mother what she wanted me to make for Thanksgiving. Mother asked me to"
23a791d7-8563-416c-8768-c29df02554bc-1," Scenario A is more likely to be true.
Scenario A: 2010 was the last year we had a real Christmas tree. The tree was vibrant until it died.
Scenario B: 2010 was the last year we had a real Christmas tree. I"
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01," Scenario A is more consistent and more likely.
Scenario A: I love taking long warm showers. Showers make me sleepy. That's why I take two of them every day.
Scenario B: I love taking long warm showers. Doing what you love is important. That"
44a68868-fdf2-4be3-93ad-86599c342dce-1," Scenario A is more consistent and more likely.
Scenario A: Susan always had stomach pain since she was little. Susan went to talk to her sister. She started treatment, and for the first time, felt healthy.
Scenario B: Susan always had stomach pain since she was little."
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1," Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence.
Scenario A is more likely.
Scenario B is more likely.
Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence"
237f8984-25de-4a4c-99a8-a99219f1d605-1," Scenario A is more likely.
Scenario A: We brought our cat home to our new house. Our neighbor doesn't like our cat because it gets in his yard. Now he comes to our house to yell and his at us.
Scenario B: We brought our cat home"
fd33b1f3-83ad-4947-995e-9d1d69be059f-1," Scenario A is more consistent with the facts.
Scenario B is more consistent with the facts.
Scenario A is more likely to be true.
Scenario B is more likely to be true.
Scenario A is more consistent with the facts.
Scenario B"
8004aded-0087-4023-9f7e-745ec3242ac1-1," Liam wanted a new video game. Liam saved for ten minutes for a new game. Liam was very proud of himself for saving his money.
Scenario A: Liam wanted a new video game. Liam saved for ten minutes for a new game. Liam was very proud of himself for saving his money.
Sc"
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1," Scenario A is more consistent with the evidence.
Scenario A: Kelly was playing a soccer match for her University. Kelly was able to score two goals at the beginning. It was a close game, but without Kelly, the team was unable to win.
Scenario B: Kelly was playing"
7e890b79-8562-4a6a-bf77-529ee329742a-1," Adam forgot his lunch at home. Adam's friends ate lunch. Adam was happy at his friend's generosity.
Scenario A: Adam forgot his lunch at home. Adam's friends felt bad and gave them some of their food. Adam was happy at his friend's generosity.
Scen"
22dfb240-ff3c-4135-9e91-444e44ec1228-1," Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B is more consistent and more likely.
Scenario A is more consistent and more likely.
Scenario B"
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1," Scenario A is more likely than scenario B.
Scenario A: Tina couldn't stop whining about becoming broke. Tina's parents felt sorry for her. When the envelope was opened, several hundred dollars appeared.
Scenario B: Tina couldn't stop whining about becoming broke"
da41ccbd-0303-40c2-a26e-9a718a278df9-1," Scenario A is more consistent with the evidence.
Scenario A: Mary was driving home one night after work. Mary hit a mailbox and damaged her front quarter panel. Mary was very sad that she would have to pay for a repair.
Scenario B: Mary was driving home one night"
2333fbe7-309c-413d-8cd4-67ce80eaca90-1," Scenario A is more consistent with the evidence.
Scenario B is more likely.
Scenario A: Jon is a shortstop for his little league team. Jon ended up hitting a walk off home run to win the championship game.
Scenario B: Jon is a shortstop for"
d0c35739-190f-4945-8bfa-b700c6889a1b-1," Scenario A is more consistent with the evidence.
Scenario A: Randy was at an Indian restaurant. Randy did not enjoy the food. Randy had never eaten anything so good before.
Scenario B: Randy was at an Indian restaurant. Randy was trying Indian food for the first time. Randy"
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1," Scenario A is more consistent and more likely.
Scenario A: Harry went to the sock every day to relax and watch the sunset. Harry met no one at the sock. He talked with her instead and made a good friend. Harry went to the sock every day to relax and watch"
89e7a088-44f7-4180-b8fe-7e150e962a38-1," Scenario A is more consistent and more likely.
Scenario A: Jason saw a huge crowd gathered in a park. The crowd was watching two people singing. But fights broke out in the crowd too and surprised Jason.
Scenario B: Jason saw a huge crowd gathered in a park. on"
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1," Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence.
Scenario A is more likely.
Scenario B is more likely.
Scenario A is more consistent with the evidence.
Scenario B is more consistent with the evidence"
1d1c4d93-6915-4282-844c-83ae6a375840-1," Scenario A is more consistent with the facts.
Scenario B is more consistent with the facts.
Scenario A is more likely to be true.
Scenario B is more likely to be true.
Scenario A is more consistent with the facts.
Scenario B"
fca2884b-c607-4b59-a086-2ba021ca0d53-1," Scenario A is more consistent and more likely.
Scenario A: I went with my girlfriend to Jamaica. We relaxed on the beach for a week. We cannot wait to go back.
Scenario B: I went with my girlfriend to Jamaica. We relaxed on the beach for a week."
87c3e711-0f34-4620-b1d7-c33436b52546-1," Scenario A is more consistent with the evidence.
Scenario A: I was playing on top of the monkey bars one day. I fell off and broke my arm. I had to go to the hospital.
Scenario B: I was playing on top of the monkey bars one day. I"
