story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Jane can not have a lesson as she is not teaching.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Nate can not work in the mines.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are """
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Anne is not hungry.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A. The"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Dan does not like people knowing about his pet pig.
The correct hypothesis is A.


A: The correct answer is A.
The context is about Jenny buying cupcakes.
The hypothesis choices are about the bakery"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Jason can not learn kung-fu by reading books.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Tom and his friend had a lot of fun working together.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
a16ce8ce-9f32-441a-8113-6997d8988ece-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because you cannot call someone an asshole online.
The correct hypothesis is A.


A: The correct answer is A.
The context is that Jenny wanted cupcakes. She bought them all.
The hypothesis choices are A"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Tom's business plan did not make money for the hotel.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
"
903210da-9c27-4efb-b546-b3af848a153d-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because ISIS is a terrorist group.
The correct hypothesis is A.


A: The correct answer is A.
The context is about a girl who wants cupcakes.
The hypothesis choices are about a girl who bought cupc"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because fireflies are alive.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A. The"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the dog is not chasing the leash.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the car was in great condition.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because you can not buy new clothes.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Frank's friend truck went off the road into the lake.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
"
4140e766-050c-4811-887e-8b12e2be190d-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because it is about a pipe.
The correct hypothesis is A.


A: The correct answer is A.
The context is about a cupcake shop.
The hypothesis choices are about the bakery.
The answer is"
96996797-6369-4709-9841-6dae421189f6-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Bobby can not be a tutor because he is not a tutor.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because road kill is not a stew.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Mike can not be outside in the cold.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the context is about the car and not the body.
The correct hypothesis is A.


A: The correct answer is A.
The context is about the bakery and the cupcakes.
The hypothesis choices are about"
22577f17-e744-4fa0-a8e7-ae764842498c-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the basement window is not a restroom.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes.""
The hypothesis choices are ""A. The bak"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Sally saw her friend at the beach.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis is ""The"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the poster is about a kitten and not a dog.
The correct hypothesis is A.


A: The correct answer is A.
The context is about a cupcake shop.
The hypothesis choices are about a bak"
ff38d303-fc0d-498f-9342-e193a85cffb5-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the procedure went smoothly.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are ""A. The"
e2930580-f202-4f81-b00a-57082c17fd9c-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because video games are not a good way to lose weight.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis"
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Jorge asked his father for the recipe and was taught the ingredient.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
"
71770122-dc12-4954-84d5-273e789321e32,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Jenny can not ride a horse all day.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes.""
The hypothesis choices are ""A. The bak"
dd50749a-103a-4348-80e7-f23d88bad4a9-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Evan was accused of cheating.
The correct hypothesis is A.


A: The correct answer is A.
The context is that Jenny wanted cupcakes. She bought them all.
The hypothesis choices are A and B."
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because you can not rent a comedy and watch a horror movie.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the kid did not intentionally spilled a drink on the man.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because the landlord can not tell Bill to move out.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because chicken soup is not a pumpkin pie.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are """
23a791d7-8563-416c-8768-c29df02554bc-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because you can not buy a tree if you are not able to go and buy one.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought"
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,"Does one of the hypothesis contradict the context? Yes, hypothesis B because taking long warm showers is not important.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis is ""The"
44a68868-fdf2-4be3-93ad-86599c342dce-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Susan is not lactose intolerant.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices are """
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because she was nice to everyone else but not to my dad.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
237f8984-25de-4a4c-99a8-a99219f1d605-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Lilly is a cat and not a girl.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The hypothesis choices"
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because you cannot enter the bazaar without purchasing the tickets.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
8004aded-0087-4023-9f7e-745ec3242ac1-1,"Does one of the hypothesis contradict the context? Yes, hypothesis B because Liam can not save for ten minutes for a new game.
The correct hypothesis is A.


A: The correct answer is A.
The context is ""Jenny wanted cupcakes. She bought them all.""
The"
