story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,A. Two of Jane's students were early for their lessons. The correct hypothesis is A.
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,Nate spent the summer traveling and partying because he had the summer off before college. The correct hypothesis is A.
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,A. Anne started losing weight and soon wasn't very hungry. The correct hypothesis is A.
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,A. Dan adopted a pig. is the only possible explanation of the sentence. The correct hypothesis is A.
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,B. is the only option that makes sense. The correct hypothesis is B.
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,A. His buddy Charles was already there. Tom applied for a job at a call center. Tom and his friend had a lot of fun working together. The correct hypothesis is A.
a16ce8ce-9f32-441a-8113-6997d8988ece-1,B. He called someone online an asshole. is the only possible explanation. The correct hypothesis is B.
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,A. Tom's business plan made money for the hotel. The correct hypothesis is A.
903210da-9c27-4efb-b546-b3af848a153d-1,The boyfriends were in ISIS. The boyfriends were killed by ISIS. The correct hypothesis is B.
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,B. beth found the fireflies dead. is the only possible answer.
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,B.
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,The car was in great condition is a rephrase of the car was in great condition. The correct hypothesis is A.
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,B. I decided to get some new clothes. is the only possible answer. The correct hypothesis is B.
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,A. One of the balls came loose and he lost control of the truck. The correct hypothesis is A.
4140e766-050c-4811-887e-8b12e2be190d-1,Dan hit a pipe is the same as Dan hit a pipe. The correct hypothesis is A.
96996797-6369-4709-9841-6dae421189f6-1,A. Bobby singed up for a tutoring class. The correct hypothesis is A.
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,B. is the only possible answer that makes sense. The other options are either impossible or implausible. The correct hypothesis is B.
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,Hypothesis A. is true because Mike wouldn't have to be out in the cold anymore. The correct hypothesis is A.
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,A. is the only possible explanation because the sentence is talking about a car. The correct hypothesis is A.
22577f17-e744-4fa0-a8e7-ae764842498c-1,B. Gin's brothers got stuck in the basement window. The correct hypothesis is B.
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,Sally saw her friend ally at the beach. The correct hypothesis is B.
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,A. Julie read a flyer attached to a pole. It was about a lost dog. The correct hypothesis is A.
ff38d303-fc0d-498f-9342-e193a85cffb5-1,A. Jimmy got plenty of novocaine for the procedure. The correct hypothesis is A.
e2930580-f202-4f81-b00a-57082c17fd9c-1,B. is more likely because it is the only explanation that makes sense. The correct hypothesis is B.
40ceae28-9539-4b79-94b8-bc3314d479a6-1,A. Jorge asked his father one day for the recipe. The correct hypothesis is A.
71770122-dc12-4954-84d5-273e789321e32,Hypothesis A. contradicts the context because Jenny wanted to learn how to ride a horse. She decided to come back soon for another fun lesson. The correct hypothesis is A.
dd50749a-103a-4348-80e7-f23d88bad4a9-1,Evan was smart and knew the information because he had studied for the test. The correct hypothesis is A.
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,A. I rented a comedy instead of a horror movie. The correct hypothesis is A.
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,A. The man saw a kid that needed help there. The correct hypothesis is A.
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,Bill was late on the rent. He had to move out within the month. Hypothesis B. is the only possible explanation. The correct hypothesis is B.
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,B. is more likely because it is Thanksgiving and soup is a traditional dish. The correct hypothesis is B.
23a791d7-8563-416c-8768-c29df02554bc-1,B. I was not able to go and buy a tree. The correct hypothesis is B.
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,B. Doing what you love is important. I love taking long warm showers. That's why I take two of them every day. The correct hypothesis is B.
44a68868-fdf2-4be3-93ad-86599c342dce-1,A. Susan listened to her doctor and realized she was lactose intolerant. The correct hypothesis is A.
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,B. She acted nice to everyone else. She was wicked to me. The correct hypothesis is B.
237f8984-25de-4a4c-99a8-a99219f1d605-1,A.
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,A. My wife entered some raffles at the Christmas bazaar. The correct hypothesis is A.
8004aded-0087-4023-9f7e-745ec3242ac1-1,B. Liam worked odd jobs in his spare time. The correct hypothesis is B.
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1,B. Kelly was ejected for punching another player. The correct hypothesis is B.
7e890b79-8562-4a6a-bf77-529ee329742a-1,His friends felt bad and gave them some of their food because they were hungry. The correct hypothesis is A.
22dfb240-ff3c-4135-9e91-444e44ec1228-1,Hypothesis A. contradicts the context because Mike practices his guitar one day a year. The correct hypothesis is B.
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1,A.
da41ccbd-0303-40c2-a26e-9a718a278df9-1,Mary was driving home one night after work. Mary was very sad that she would have to pay for a repair. Hypothesis A.
2333fbe7-309c-413d-8cd4-67ce80eaca90-1,B. It was Jon's turn to bat. is a rephrase of A. People knew of Jon's ability. The correct hypothesis is B.
d0c35739-190f-4945-8bfa-b700c6889a1b-1,Randy was trying Indian food for the first time. Randy had never eaten anything so good before. The correct hypothesis is B.
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1,B. Harry saw a girl he liked. Harry went to the sock every day to relax and watch the sunset. He talked with her instead and made a good friend. The correct hypothesis is B.
89e7a088-44f7-4180-b8fe-7e150e962a38-1,The crowd was watching two people singing. The correct hypothesis is A.
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1,A. The promotion was unexpected. is the only answer that makes sense. The correct hypothesis is A.
1d1c4d93-6915-4282-844c-83ae6a375840-1,B.
fca2884b-c607-4b59-a086-2ba021ca0d53-1,B. We relaxed on the beach for a week. The correct hypothesis is B.
87c3e711-0f34-4620-b1d7-c33436b52546-1,I was playing on top of the monkey bars one day. I had to go to the hospital. Hypothesis A. relates better to the context because I slipped and bruised my arm. The correct hypothesis is A.
6bdd3686-e49e-4e83-869d-bed942e3e83d-1,A. Michael had a bad trip to the casino. is the only possible answer. The correct hypothesis is A.
2739d4b2-9721-4239-a6ff-6e04d45c4bbe-1,"A. I did not wait to get going, I just jumped in. B. Today was just another day. The correct hypothesis is B."
5667a8aa-a8e0-4055-bdf9-8815e6fe1145-1,B.
4a68a83f-5da7-4b52-95f4-a6aeaa33927b-1,"A. Kelly met one direction. Kelly was excited to attend a one direction concert. Just as she thought, they were super nice. The correct hypothesis is A."
8cd5c023-1bd7-4821-bd29-26bb06a35ddf2,They went to see animals at the shelter but couldn't decide. The correct hypothesis is B.
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d31,B. I threw up from the pumpkin bars once. The correct hypothesis is B.
03e9bbf0-9783-4c1a-b00c-625d3a59805d-1,A. Mike felt really lonely while eating. is the only possible answer. The correct hypothesis is A.
0f797de2-3d82-46d1-a370-c278a36ad7851,A. Megan wants to stop doing drugs for her family. The correct hypothesis is A.
bf8b9f77-692d-4873-a7e5-30dec273eb4d2,A.
963d3ae8-43ee-424f-afd2-9d225624201f-1,B. Toni went for a long run before bed. The correct hypothesis is B.
5348daea-021f-4210-92ae-a0a52b576705-1,The date went really well for Toby and Kendra because they made plans for a second date. The correct hypothesis is A.
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d32,No hypothesis contradicts the context. Hypothesis B. relates better to the context because I made pumpkin bars later in life and they reminded me of my mom. The correct hypothesis is B.
547e9231-6b71-4cd3-8a82-0d597c315a4a-1,A. James grew up and started a bookstore. The correct hypothesis is A.
be0c5b83-6c8d-40a3-8e0e-e2d9f159f419-1,"Hypothesis A. contradicts the context because Shawn was celebrating his first Christmas in his own place. It took him a couple of hours, but he was able to get it all right. The correct hypothesis is A."
8cd70d09-7bad-44ce-8681-101645b5e825-1,A. Francis met a person at the park. Francis had given up on finding a lover. Now Francis has no longer given up on finding a lover. Hypothesis A. relates better to the context because Francis met a person at the park. The correct hypothesis is A.
76fcb242-5a93-4526-a0d0-1e1daaa6c704-1,Stacey and her mom baked cookies. The correct hypothesis is B.
