story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,B. None of Jane's students had a lesson that day.
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,A. Nate spent the summer traveling and partying.
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,A. Anne started losing weight and soon wasn't very hungry.
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,A. Dan adopted a pig.
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"B. After reading many books, he needed to take classes to learn hands on tactics."
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,A. His buddy Charles was already there.
a16ce8ce-9f32-441a-8113-6997d8988ece-1,B. He called someone online an asshole.
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,A. Tom's business plan made money for the hotel.
903210da-9c27-4efb-b546-b3af848a153d-1,B. The girls become involved with ISIS.
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,B. Beth found the fireflies dead.
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,B. He got away from his master and was trailing his leash.
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,A. The car was in great condition.
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,B.
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,A. One of the balls came loose and he lost control of the truck.
4140e766-050c-4811-887e-8b12e2be190d-1,A. Dan hit a pipe.
96996797-6369-4709-9841-6dae421189f6-1,A. Bobby singed up for a tutoring class.
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,B. Fran found some road kill and took it home.
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,A.
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,A.
22577f17-e744-4fa0-a8e7-ae764842498c-1,B. Gin's brothers got stuck in the basement window.
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,A. She got there late.
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,A. Julie read a flyer attached to a pole. It was about a lost dog.
ff38d303-fc0d-498f-9342-e193a85cffb5-1,A. Jimmy got plenty of novocaine for the procedure.
e2930580-f202-4f81-b00a-57082c17fd9c-1,A. She quit video games and started walking.
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"A. Jorge asked his father, and was taught the ingredient."
71770122-dc12-4954-84d5-273e789321e32,B. Jenny rode a horse all day.
dd50749a-103a-4348-80e7-f23d88bad4a9-1,A. Evan was smart and knew the information.
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,A.
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,A. The man saw a kid that needed help there.
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,Bill was told pay or you have to move.
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,B. Mother asked me to make chicken soup.
23a791d7-8563-416c-8768-c29df02554bc-1,B. I was not able to go and buy a tree.
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,B. Doing what you love is important.
44a68868-fdf2-4be3-93ad-86599c342dce-1,A. Susan listened to her doctor and realized she was lactose intolerant.
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,B. She claimed to have befriended a ghost.
