story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,"
The correct scenario is A.

O1 is: The police were called to the scene., O2 is: The police arrived and found the body., H1 is: The police found the body in the basement., H2 is: The police found the body in the attic.
Scenario"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,"
The correct scenario is A.

O1 is: The first day of school, the teacher announced that the class would be learning about the solar system., O2 is: The teacher showed the students a picture of the solar system., H1 is: The teacher showed the students a picture of the solar system"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,"
The correct scenario is A.

O1 is: Anna and her mother went to go to the pound to pick out a puppy., O2 is: Anna and her mother went home with her new best friend!, H1 is: Anna found a great dog., H2 is: Anna found a great guitar"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,"
The correct scenario is B.

O1 is: I'm going to the store to buy some groceries., O2 is: I'm going to the store to buy some groceries., H1 is: I'm going to the store to buy some groceries., H"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"
The correct scenario is A.

O1 is: Jason is a good student., O2 is: Jason is a good student., H1 is: Jason is a good student., H2 is: Jason is a good student.
Scenario A is: O1 H1 O2 Scen"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,"
The correct scenario is B.

O1 is: I was really bored one day, so I decided to go to the arcade., O2 is: Later, a manager woke me up and told me I had to leave., H1 is: The manager was asleep and I gave him money all day"
a16ce8ce-9f32-441a-8113-6997d8988ece-1,"
The correct scenario is A.

O1 is: I was in a car accident., O2 is: I was in a car accident and I was injured., H1 is: I was in a car accident and I was injured., H2 is: I was in a car accident and I was injured"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,"
The correct scenario is A.

O1 is: The police were called to the scene., O2 is: The police found the body of the victim., H1 is: The police found the body of the victim., H2 is: The police found the body of the victim.
Scenario"
903210da-9c27-4efb-b546-b3af848a153d-1,"
The correct scenario is A.

O1 is: The girl was very upset when she found out that her boyfriend was cheating on her., O2 is: She was very upset when she found out that her boyfriend was cheating on her., H1 is: She was very upset when she found out that her"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,"
The correct scenario is B.

O1 is: I was watching TV., O2 is: I went back to my chair with the crackers., H1 is: I put crackers in the cupboard., H2 is: I grabbed crackers from the cupboard. Scenario A is"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,"
The correct scenario is A.

O1 is: I was four years old the first time I was ever bitten by a dog., O2 is: I tugged it, and the Dalmatian gave me some spots of my own., H1 is: I had a corgie bite, causing"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,"
The correct scenario is A.

O1 is: I have been trying to get a promotion at work., O2 is: I stormed into my boss's office and quit on the spot., H1 is: I was not promoted after a long time., H2 is: I was promptly promoted"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,"
The correct scenario is A.

O1 is: I was in the middle of a very important meeting., O2 is: I was in the middle of a very important meeting., H1 is: I was in the middle of a very important meeting., H2 is: I was in the middle of"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,"
The correct scenario is B.

O1 is: I was in the car with my dad and he was driving too fast., O2 is: I was in the car with my dad and he was driving too fast., H1 is: I was in the car with my dad and he was driving too"
4140e766-050c-4811-887e-8b12e2be190d-1,"
The correct scenario is A.

O1 is: I was going to the store to buy some groceries., O2 is: I was going to the store to buy some groceries., H1 is: I was going to the store to buy some groceries. I was going to"
96996797-6369-4709-9841-6dae421189f6-1,"
The correct scenario is B.

O1 is: I was having trouble with my math homework., O2 is: On Monday, I made an A on my math homework., H1 is: I went to the library to get help., H2 is: My mom made me go to the library."
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,"
The correct scenario is A.

O1 is: I was telling stories to my grandchildren today., O2 is: That way, I'll never run out of stories to tell., H1 is: I never read new stories., H2 is: I always read new stories every day. Scen"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,"
The correct scenario is B.

O1 is: I was in the middle of a conversation with my friend., O2 is: I was in the middle of a conversation with my friend., H1 is: I was in the middle of a conversation with my friend., H2 is: I was in"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"
The correct scenario is A.

O1 is: The tour guide greeted us in a friendly manner., O2 is: I enjoyed the service and thanked the tour guide., H1 is: The guide made us see the trash like the locals do., H2 is: The guide made us see sights like"
22577f17-e744-4fa0-a8e7-ae764842498c-1,"
The correct scenario is B.

O1 is: I was in the middle of a game of chess., O2 is: I was in the middle of a game of checkers., H1 is: I was in the middle of a game of chess., H2 is: I was in the middle"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,"
The correct scenario is A.

O1 is: I love to stay up late and watch late night talk shows., O2 is: I've switched to recording the shows and watching them during the day., H1 is: Staying up late made me do bad at work., H2 is:"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,"
The correct scenario is B.

O1 is: The dog was very friendly and Julie decided to take it home., O2 is: The dog was very friendly and Julie decided to take it home., H1 is: The dog was very friendly and Julie decided to take it home. Scenario A"
ff38d303-fc0d-498f-9342-e193a85cffb5-1,"
The correct scenario is A.

O1 is: The police were called to the scene., O2 is: The police found a dead body., H1 is: The police found a body in the woods., H2 is: The police found a body in the woods.
Scenario A is"
e2930580-f202-4f81-b00a-57082c17fd9c-1,"
The correct scenario is A.

O1 is: The Roberts had a great time at the party., O2 is: The Roberts were disappointed that they didn't get to see the band., H1 is: The Roberts were disappointed that they didn't get to see the band., H2 is"
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"
The correct scenario is A.

O1 is: I was very excited to see my friend., O2 is: I was very excited to see my friend., H1 is: I was very excited to see my friend., H2 is: I was very excited to see my friend.
Scen"
71770122-dc12-4954-84d5-273e789321e32,"
The correct scenario is A.

O1 is: Mary was always a cheapskate., O2 is: Mary was always spend-thrifty. H1 is: Mary was always a cheapskate., H2 is: Mary was always spend-thrifty.
Scen"
dd50749a-103a-4348-80e7-f23d88bad4a9-1,"
The correct scenario is A.

O1 is: I was in a car accident., O2 is: I was in a car accident and I was injured., H1 is: I was in a car accident and I was not injured., H2 is: I was in a car accident and I was"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,"
The correct scenario is B.

O1 is: I wanted to do a different thing than the usual., O2 is: I brought the movie home and watched the whole thing., H1 is: I rented a comedy instead of a horror movie., H2 is: I decided to get the movie my"
