,Sky,Temperature,Precipitation,Wind,Animal,Place
0,overcast,6,4,23,bird,city
1,clear,-6,5,0,fish,mountains
2,overcast,28,12,54,cat,mountains
3,overcast,17,3,58,cat,city
4,cloudy,8,12,0,bird,city
5,overcast,5,0,54,bird,city
6,overcast,9,0,56,fish,meadows
7,overcast,28,9,24,cat,beach
8,cloudy,29,18,16,fish,city
9,overcast,2,0,32,cat,meadows
10,overcast,25,19,14,fish,mountains
11,overcast,16,6,12,cat,beach
12,clear,2,0,48,bird,mountains
13,overcast,27,5,40,bird,city
14,overcast,4,0,54,fish,city
15,overcast,-10,0,52,bird,beach
16,overcast,4,0,27,fish,mountains
17,overcast,4,7,44,fish,city
18,overcast,14,18,21,bird,meadows
19,overcast,24,0,25,fish,beach
20,cloudy,24,0,22,bird,meadows
21,cloudy,18,4,53,cat,beach
22,cloudy,-5,6,59,cat,meadows
23,clear,26,9,56,cat,mountains
24,overcast,11,0,66,bird,city
25,clear,4,0,72,fish,city
26,cloudy,14,18,1,fish,meadows
27,clear,23,0,17,bird,meadows
28,cloudy,0,17,76,fish,city
29,clear,28,1,3,cat,beach
30,overcast,5,0,70,bird,city
31,cloudy,-4,0,64,cat,beach
32,clear,3,4,59,cat,beach
33,overcast,17,0,50,bird,mountains
34,overcast,4,5,47,fish,meadows
35,clear,24,0,12,fish,meadows
36,cloudy,-3,19,57,bird,mountains
37,overcast,8,0,5,cat,mountains
38,clear,21,0,10,cat,city
39,overcast,24,0,24,cat,beach
40,clear,24,11,31,fish,mountains
41,cloudy,29,11,73,fish,mountains
42,clear,-4,0,46,cat,meadows
43,overcast,16,0,79,bird,mountains
44,overcast,-5,9,47,bird,beach
45,cloudy,19,13,33,cat,meadows
46,cloudy,-6,7,33,fish,mountains
47,overcast,17,9,70,cat,meadows
48,clear,27,0,45,fish,city
49,clear,4,9,43,fish,city
50,cloudy,23,0,42,bird,city
51,overcast,-5,19,30,bird,mountains
52,cloudy,6,0,53,cat,city
53,clear,17,8,46,bird,mountains
54,cloudy,22,0,4,cat,mountains
55,cloudy,-3,1,18,bird,mountains
56,overcast,-9,16,46,bird,city
57,clear,27,1,10,cat,city
58,overcast,-3,14,27,bird,beach
59,cloudy,-3,3,16,fish,city
60,clear,3,0,19,cat,meadows
61,overcast,6,16,8,fish,meadows
62,clear,-1,3,54,fish,meadows
63,cloudy,22,0,36,bird,mountains
64,overcast,-8,0,5,bird,meadows
65,clear,10,0,34,cat,mountains
66,clear,25,0,72,bird,beach
67,clear,26,14,46,cat,mountains
68,overcast,28,0,26,cat,beach
69,clear,13,10,51,fish,beach
70,cloudy,-4,17,56,fish,meadows
71,cloudy,-4,0,77,bird,mountains
72,cloudy,6,0,51,fish,mountains
73,cloudy,26,9,50,fish,beach
74,overcast,24,8,59,fish,mountains
75,overcast,5,0,32,bird,city
76,overcast,18,6,11,cat,city
77,clear,14,6,33,fish,beach
78,cloudy,12,14,1,fish,meadows
79,clear,3,0,11,bird,beach
80,clear,0,0,55,cat,city
81,overcast,-10,10,67,bird,beach
82,overcast,-9,7,31,cat,beach
83,cloudy,-2,17,75,cat,city
84,clear,4,17,69,cat,beach
85,cloudy,7,6,57,cat,mountains
86,cloudy,17,0,20,fish,city
87,overcast,18,4,73,fish,meadows
88,cloudy,17,4,55,cat,meadows
89,clear,7,0,8,bird,city
90,cloudy,-3,13,58,fish,mountains
91,cloudy,7,18,72,fish,mountains
92,overcast,10,2,16,fish,mountains
93,cloudy,4,0,14,cat,meadows
94,cloudy,20,0,23,bird,mountains
95,cloudy,9,2,75,cat,city
96,clear,7,0,2,bird,meadows
97,cloudy,25,12,3,fish,beach
98,clear,-7,0,73,bird,meadows
99,cloudy,9,11,51,cat,beach
100,cloudy,19,16,60,fish,beach
101,overcast,11,18,53,cat,city
102,overcast,26,4,72,cat,mountains
103,overcast,8,0,63,fish,meadows
104,overcast,3,1,48,cat,beach
105,overcast,2,6,26,fish,mountains
106,cloudy,12,3,27,cat,city
107,clear,-7,16,47,bird,beach
108,overcast,3,0,3,bird,mountains
109,clear,17,0,7,cat,city
110,clear,7,12,61,cat,city
111,overcast,1,10,38,bird,beach
112,clear,26,16,49,fish,city
113,cloudy,29,0,43,bird,mountains
