story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1," A. Two of Jane's students were early for their lessons.
Context: C1. Jane was a professor teaching piano to students. C2. Jane spent the morning sipping coffee and reading a book.
Hypothesis choices: A. Jane was a professor teaching piano to students. B."
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1," A. Nate spent the summer traveling and partying.
Context: C1. Nate had the summer off before college. C2. Nate's last summer before college was a total blast!
Hypothesis choices: A. Nate spent the summer traveling and partying. B. Nate decided to spend"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1," A. Anne started losing weight and soon wasn't very hungry.
Context: C1. Anne decided to cut out carbs from her diet. C2. After a few weeks she did not even miss carbs at all!
Hypothesis choices: A. Anne started losing weight and soon wasn"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1," A. Dan adopted a pig.
Context: C1. Dan's neighbors know him for having a strange pet. C2. Dan is glad to have his pet pig be a part of his family.
Hypothesis choices: A. Dan adopted a pig. B. Dan doesn't like"
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1," A. Jason found a cartoon book at the library.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1. Jason wants to learn"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1," A. His buddy Charles was already there.
Context: C1. Tom applied for a job at a call center. C2. Tom and his friend had a lot of fun working together.
Hypothesis choices: A. His buddy Charles was already there. B. Tom worked with his father."
a16ce8ce-9f32-441a-8113-6997d8988ece-1," A. Some of the other players insulted Bob.
The correct answer is A. Some of the other players insulted Bob.
The context C1 happened before the context C2.
The hypothesis A is coherent with the context C1.
The hypothesis A is coherent with the context C2.
"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1," A is chosen.
Context: C1. Tom's business decided to buy a franchised hotel. C2. The hotel profit grew and the business gave Tom huge bonus pay.
Hypothesis choices: A. Tom's business plan made money for the hotel. B. Because of no experience"
903210da-9c27-4efb-b546-b3af848a153d-1," A. The girls were American citizens.
Context: C1. Two girls have boyfriends in isis. C2. ISIS killed them.
Hypothesis choices: A. the boyfriends were american citizens. B. The girls become involved with ISIS.
Answer: B. The girls"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1," A. Beth found the fireflies had eaten.
Context: C1. Beth caught two fireflies in a jar. C2. It turned out they never survive when caught.
Hypothesis choices: A. Beth found the fireflies had eaten. B. beth found the fireflies dead."
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1," A. I had a corgie bite, causing me hallucinations.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1."
bb63a874-2cf1-4ffc-8f75-b403c0b26be52," A. The car was in great condition.
Context: C1. My husband and I rented a car on vacation. C2. We look forward to renting from that same car company again.
Hypothesis choices: A. The car was in great condition. B. The driver was so miserable and"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1," A. I went shopping and bought more groceries.
Context: C1. I noticed my dresser was getting empty. C2. My dresser was completely full once again.
Hypothesis choices: A. I went shopping and bought more groceries. B. I decided to get"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1," A. One of the balls came loose and he lost control of the truck.
Context: C1. Frank was hauling bowling balls in his truck. C2. Frank screamed as he tumbled into the water.
Hypothesis choices: A. One of the balls came loose and he lost"
4140e766-050c-4811-887e-8b12e2be190d-1," A. Dan hit a pipe.
Context: C1. Dan was digging in his yard to put in an extension to his home. C2. When he sniffed the air he realized he'd struck a sewage pipe.
Hypothesis choices: A. Dan hit a pipe. B"
96996797-6369-4709-9841-6dae421189f6-1," A. Bobby singed up for a tutoring class.
The correct answer is A. Bobby singed up for a tutoring class.
The correct answer is B. His mom made him be a tutor.
The correct answer is A. Bobby singed up for a tutoring class.
The"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1," A. Along the winding lane she saw apple trees.
Context: C1. Fran drove along the winding lane. C2. She'd decided she'd make a stew out of it when she got home.
Hypothesis choices: A. Along the winding lane she saw apple trees. B"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1," A. Mike decided to get a new job inside of a building.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1. His"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1," A. The bad sound came from worn out spark plugs, which I then replaced.
The answer is correct because it is coherent with the context.
Context: C1. My race car sounded like it needed a new engine. C2. My engine ran great again and I saved money.
Hyp"
22577f17-e744-4fa0-a8e7-ae764842498c-1," A. Gina had to use the restroom.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1. Gin's climbed"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1," A. She got there late.
Context: C1. Today Ally went to the beach. C2. Sally had to go home.
Hypothesis choices: A. She got there late. B. Sally saw her friend ally at the beach.
Answer: B. Sally saw"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1," A. Julie read a flyer attached to a pole. It was about a lost dog.
Context: C1. Julie decided to go out for a walk. C2. During her walk Julie found the dog and returned it to it's owner.
Hypothesis choices: A. Julie read"
ff38d303-fc0d-498f-9342-e193a85cffb5-1," A. Jimmy got plenty of novocaine for the procedure.
The answer is correct because it is coherent with the context.
Context: C1. Jimmy had to get a root canal. C2. He did not feel a thing and the procedure went smoothly.
Hypothesis choices: A."
e2930580-f202-4f81-b00a-57082c17fd9c-1," A. She quit video games and started walking.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1. Cynthia really loved video games"
40ceae28-9539-4b79-94b8-bc3314d479a6-1," A. Jorge asked his father one day for the recipe.
The answer is correct because it is coherent with the context.
Context: C1. Jorge has always wanted to learn his father's famous recipe for beans. C2. Jorge is proud he has finally learned his father's recipe for beans."
71770122-dc12-4954-84d5-273e789321e32," A. Jenny was scared of the horse.
Context: C1. Jenny wanted to learn how to ride a horse. C2. She decided to come back soon for another fun lesson.
Hypothesis choices: A. Jenny was scared of the horse. B. Jenny rode a horse all day."
dd50749a-103a-4348-80e7-f23d88bad4a9-1," A. He was smart and knew the information.
Context: C1. Evan was late for his class. C2. Evan was late for his class.
Hypothesis choices: A. Evan was late for his class. B. Evan was late for his class.
Answer: A"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1," A. I rented a comedy instead of a horror movie.
Context: C1. I wanted to do a different thing than the usual. C2. I brought the movie home and watched the whole thing.
Hypothesis choices: A. I rented a comedy instead of a horror movie. B."
b3af4672-cc20-4816-84c9-6fd833b9beb1-1," A. The man saw a kid that needed help there.
Context: C1. The man was sitting on the plane. C2. The man reported the kid to the flight attendants.
Hypothesis choices: A. The man saw a kid that needed help there. B. A kid sat"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1," A. Bill gave the landlord a notice to vacate.
Context: C1. Bill was late on the rent. C2. He had to move out within the month.
Hypothesis choices: A. Bill gave the landlord a notice to vacate. B. Bill was told pay or you"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1," A is chosen.
Context: C1. I asked my mother what she wanted me to make for Thanksgiving. C2. We loved the soup!
Hypothesis choices: A. She said I could try making pumpkin pie. B. Mother asked me to make chicken soup.
Answer:"
23a791d7-8563-416c-8768-c29df02554bc-1," A. The tree was vibrant until it died.
Context: C1. 2010 was the last year we had a real Christmas tree. C2. I had a stroke in 2011 and we have not had a real tree since.
Hypothesis choices: A."
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01," A. Showers make me sleepy.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1. I love taking long warm showers"
44a68868-fdf2-4be3-93ad-86599c342dce-1," A. Susan listened to her doctor and realized she was lactose intolerant.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C1"
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1," A. She claimed to have befriended a ghost.
Context: C1. My stepmother was a wicked woman. C2. I told my dad what she did, but he didn't believe me.
Hypothesis choices: A. She claimed to have befriended a ghost."
237f8984-25de-4a4c-99a8-a99219f1d605-1," A. Our neighbor doesn't like our cat because it gets in his yard.
The task is to choose one hypothesis from a given pair of hypotheses. The chosen hypothesis is coherent with the contexts and does not contradict them. If both hypothesis are correct, the more likely one is chosen.
Context: C"
