story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,"
Step 1: Jane was a professor teaching piano to students.
Step 2: Jane spent the morning sipping coffee and reading a book.
Step 3: Jane was a professor teaching piano to students.
Step 4: Jane spent the morning sipping coffee and reading a book.
Step"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,"
A. Nate spent the summer traveling and partying.
B. Nate decided to spend the entire summer working in the Mines.
A. Nate spent the summer traveling and partying. B. Nate decided to spend the entire summer working in the Mines.
A. Nate spent the summer traveling and"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,"
A. Anne started losing weight and soon wasn't very hungry.
B. She wanted to bulk up.
A. Anne started losing weight and soon wasn't very hungry.
B. She wanted to bulk up.
A. Anne started losing weight and soon wasn't very hungry.
"
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,"
Step 1: Dan adopted a pig.
Step 2: Dan doesn't like people knowing about his pet pig.
Step 3: Dan adopted a pig.
Step 4: Dan doesn't like people knowing about his pet pig.
Step 5: Dan adopted a pig."
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"
Step 1: Jason found a cartoon book at the library.
Step 2: Jason realized that reading a book is not a good way to learn kung-fu.
Step 3: Jason needed to take classes to learn hands on tactics.
Step 4: Jason took classes to learn hands"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,"
Step 1: We have a context.
Step 2: We have a hypothesis choice.
Step 3: We have a hypothesis.
Step 4: We have a hypothesis choice.
Step 5: We have a hypothesis.
Step 6: We have a hypothesis choice.
"
a16ce8ce-9f32-441a-8113-6997d8988ece-1,"
A. Some of the other players insulted Bob.
B. He called someone online an asshole.
A. Some of the other players insulted Bob. B. He called someone online an asshole.
A. Some of the other players insulted Bob. B. He called someone online an"
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,"
A. Tom's business plan made money for the hotel.
B. Because of no experience, Tom was demoted to another position.
A. Tom's business plan made money for the hotel.
B. Because of no experience, Tom was demoted to another position.
A. Tom"
903210da-9c27-4efb-b546-b3af848a153d-1,"
A. The boyfriends were american citizens.
B. The girls become involved with ISIS.
A. The boyfriends were american citizens. B. The girls become involved with ISIS.
A. The boyfriends were american citizens. B. The girls become involved with ISIS.
A. The boyfriends"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,"
Step 1: Beth caught two fireflies in a jar.
Step 2: It turned out they never survive when caught.
Step 3: Beth found the fireflies had eaten.
Step 4: Beth found the fireflies dead.
Step 5: Beth found the fireflies dead"
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,"
A. I had a corgie bite, causing me hallucinations.
B. He got away from his master and was trailing his leash.
A. I had a corgie bite, causing me hallucinations. B. He got away from his master and was trailing his leash.
"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,"
Step 1: The car was in great condition.
Step 2: The driver was so miserable and played raggae music.
Step 3: The car was in great condition and the driver was so miserable and played raggae music.
Step 4: The car was in great condition"
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,"
I noticed my dresser was getting empty.
I went shopping and bought more groceries.
I decided to get some new clothes.
I went shopping and bought some new clothes.
I went shopping and bought some new clothes.
I went shopping and bought some new clothes.
I went shopping"
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,"
Step 1: Frank was hauling bowling balls in his truck.
Step 2: Frank screamed as he tumbled into the water.
Step 3: Frank's friend truck went off the road into the lake.
Step 4: Frank's friend truck went off the road into"
4140e766-050c-4811-887e-8b12e2be190d-1,"
Step 1: Dan was digging in his yard to put in an extension to his home.
Step 2: When he sniffed the air he realized he'd struck a sewage pipe.
Step 3: A. Dan hit a pipe.
Step 4: B. Dan'"
96996797-6369-4709-9841-6dae421189f6-1,"
Step 1: Bobby was having trouble in Algebra.
Step 2: On Monday, Bobby made an A on his Algebra test.
Step 3: Bobby was having trouble in Algebra.
Step 4: Bobby was having trouble in Algebra.
Step 5: Bobby was"
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,"
A. Along the winding lane she saw apple trees.
B. Fran found some road kill and took it home.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation.
The third hypothesis is the most likely explanation.
The fourth hypothesis is the least likely explanation"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,"
A. Mike decided to get a new job inside of a building.
B. Mike decided to be outside in the cold.
A. Mike decided to get a new job inside of a building.
B. Mike decided to be outside in the cold.
A. Mike decided to get a new job"
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"
A. I determined the bad sound came from worn out spark plugs, which I then replaced.
B. My mechanic checked out my body.
A. I determined the bad sound came from worn out spark plugs, which I then replaced. B. My mechanic checked out my body.
A."
22577f17-e744-4fa0-a8e7-ae764842498c-1,"
A. Gina had to use the restroom.
B. Gin's brothers got stuck in the basement window.
A. Gina had to use the restroom.
B. Gin's brothers got stuck in the basement window.
A. Gina had to use the restroom."
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,"
A. She got there late.
B. Sally saw her friend ally at the beach.
A. She got there late. B. Sally saw her friend ally at the beach.
A. She got there late. B. Sally saw her friend ally at the beach.
A. She got there"
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,"
A. Julie read a flyer attached to a pole. It was about a lost dog.
B. Julie saw a missing poster of a lost kitten on a pole.
A. Julie read a flyer attached to a pole. It was about a lost dog.
B. Julie saw a missing"
ff38d303-fc0d-498f-9342-e193a85cffb5-1,"
A. Jimmy got plenty of novocaine for the procedure.
B. Jimmy was very bold.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation.
The abductive reasoning task is to choose the most likely explanation from a given pair of hypotheses choices."
e2930580-f202-4f81-b00a-57082c17fd9c-1,"
Step 1: Cynthia really loved video games.
Step 2: After just a few months she had lost the weight.
Step 3: She quit video games and started walking.
Step 4: She played for hours every day.
Step 5: She quit video games and started walking"
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"
Step 1: Jorge asked his father one day for the recipe.
Step 2: Jorge asked his father, and was taught the ingredient.
Step 3: Jorge asked his father one day for the recipe.
Step 4: Jorge asked his father, and was taught the ingredient.
Step"
71770122-dc12-4954-84d5-273e789321e32,"
Step 1: Jenny wanted to learn how to ride a horse.
Step 2: Jenny decided to come back soon for another fun lesson.
Step 3: Jenny decided to come back soon for another fun lesson.
Step 4: Jenny decided to come back soon for another fun lesson.
"
dd50749a-103a-4348-80e7-f23d88bad4a9-1,"
Step 1: Evan forgot to study for his math test.
Step 2: Evan got an A on the test but his classmate was accused of cheating.
Step 3: Evan was smart and knew the information.
Step 4: Evan took his test by himself.
Step 5"
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,"
A. I rented a comedy instead of a horror movie.
B. I decided to get the movie my friend suggested but I didn't think I'd like.
A. I rented a comedy instead of a horror movie.
B. I decided to get the movie my friend suggested but I didn"
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,"
The man was sitting on the plane.
The man reported the kid to the flight attendants.
A kid sat next to the man and spilled a drink on him intentionally.
The man was sitting on the plane. The man reported the kid to the flight attendants. A kid sat next to the"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,"
Step 1: Bill was late on the rent.
Step 2: Bill had to move out within the month.
Step 3: Bill gave the landlord a notice to vacate.
Step 4: Bill was told pay or you have to move.
Step 5: Bill was late"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,"
Step 1: I asked my mother what she wanted me to make for Thanksgiving.
Step 2: She said I could try making pumpkin pie.
Step 3: I asked my mother what she wanted me to make for Thanksgiving.
Step 4: She said I could try making chicken soup."
23a791d7-8563-416c-8768-c29df02554bc-1,"
A. The tree was vibrant until it died.
B. I was not able to go and buy a tree.
A. The tree was vibrant until it died.
B. I was not able to go and buy a tree.
A. The tree was vibrant until it died.
B."
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,"
A. Showers make me sleepy.
B. Doing what you love is important.
A. Showers make me sleepy. B. Doing what you love is important.
A. Showers make me sleepy. B. Doing what you love is important.
A. Showers make"
44a68868-fdf2-4be3-93ad-86599c342dce-1,"
Step 1: Susan is lactose intolerant.
Step 2: Susan is healthy.
Step 3: Susan is lactose intolerant.
Step 4: Susan is healthy.
Step 5: Susan is lactose intolerant.
Step 6: Susan is healthy.
"
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,"
A. She claimed to have befriended a ghost.
B. But she acted nice to everyone else.
A. She claimed to have befriended a ghost. B. But she acted nice to everyone else.
A. She claimed to have befriended a ghost. B. But she"
237f8984-25de-4a4c-99a8-a99219f1d605-1,"
A. Our neighbor doesn't like our cat because it gets in his yard.
B. Lilly, our cat, bonded with the girl next door.
A. Our neighbor doesn't like our cat because it gets in his yard.
B. Lilly, our cat, bonded"
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,"
A. My wife entered some raffles at the Christmas bazaar.
B. My wife purchased the tickets to enter the bazaar.
A. My wife entered some raffles at the Christmas bazaar. B. My wife purchased the tickets to enter the bazaar.
"
8004aded-0087-4023-9f7e-745ec3242ac1-1,"
Step 1: Liam saved for ten minutes for a new game.
Step 2: Liam saved for ten minutes for a new game.
Step 3: Liam saved for ten minutes for a new game.
Step 4: Liam saved for ten minutes for a new game.
Step 5"
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1,"
Step 1: The first hypothesis is the most likely.
Step 2: The second hypothesis is the most likely.
Step 3: The first hypothesis is the most likely.
Step 4: The second hypothesis is the most likely.
Step 5: The first hypothesis is the most likely"
7e890b79-8562-4a6a-bf77-529ee329742a-1,"
Step 1: Adam forgot his lunch at home.
Step 2: Adam was happy at his friend's generosity.
Step 3: Adam's friends ate lunch.
Step 4: Adam's friends felt bad and gave them some of their food.
Step 5: Adam"
22dfb240-ff3c-4135-9e91-444e44ec1228-1,"
A. Mike practices his guitar one day a year.
B. Mark plays guitar everyday.
A. Mike practices his guitar one day a year.
B. Mark plays guitar everyday.
A. Mike practices his guitar one day a year.
B. Mark plays guitar everyday.
A. Mike"
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1,"
1. Tina couldn't stop whining about becoming broke.
2. When the envelope was opened, several hundred dollars appeared.
3. Tina's parents felt sorry for her.
4. So she found an envelope on the ground, but didnt want it.
5. A. Tina"
da41ccbd-0303-40c2-a26e-9a718a278df9-1,"
Step 1: Mary was driving home one night after work.
Step 2: Mary was very sad that she would have to pay for a repair.
Step 3: Mary hit a mailbox and damaged her front quarter panel.
Step 4: Mary hit a red light and damaged her front"
2333fbe7-309c-413d-8cd4-67ce80eaca90-1,"
A. People knew of Jon's ability.
B. It was Jon's turn to bat.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation.
The abductive reasoning task is to choose the most likely explanation from a given pair of hypotheses choices"
d0c35739-190f-4945-8bfa-b700c6889a1b-1,"
Step 1: Randy was at an Indian restaurant.
Step 2: Randy had never eaten anything so good before.
Step 3: Randy was at an Indian restaurant.
Step 4: Randy had never eaten anything so good before.
Step 5: Randy was at an Indian restaurant."
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1,"
Step 1: Harry went to the sock every day to relax and watch the sunset.
Step 2: Harry met no one at the sock.
Step 3: Harry saw a girl he liked.
Step 4: Harry met a girl he liked.
Step 5: Harry"
89e7a088-44f7-4180-b8fe-7e150e962a38-1,"
First, Jason saw a huge crowd gathered in a park.
Second, fights broke out in the crowd too.
Third, Jason was surprised.
Fourth, Jason saw two people singing.
Fifth, Jason saw an argument nearby.
The first hypothesis choice is A. The crowd"
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1,"
A. The promotion was unexpected.
B. I have been getting horrible insults by workers.
A. The promotion was unexpected. B. I have been getting horrible insults by workers.
A. The promotion was unexpected. B. I have been getting horrible insults by workers.
A."
1d1c4d93-6915-4282-844c-83ae6a375840-1,"
A. Instead of the money he owed he stole a box of homemade cookies from the shop he used the money for.
B. He was sorry for taking so long to pay the money back.
A. Instead of the money he owed he stole a box of homemade cookies from the shop he used the money"
fca2884b-c607-4b59-a086-2ba021ca0d53-1,"
A. We had a lot of fun in New York.
B. We relaxed on the beach for a week.
A. We had a lot of fun in New York.
B. We relaxed on the beach for a week.
A. We relaxed on the beach for a week.
B"
87c3e711-0f34-4620-b1d7-c33436b52546-1,"
I was playing on top of the monkey bars one day.
I slipped and bruised my arm.
I fell off and broke my arm.
I was playing on top of the monkey bars one day. I slipped and bruised my arm. I fell off and broke my arm.
I was playing"
6bdd3686-e49e-4e83-869d-bed942e3e83d-1,"
Step 1: Michael always loved to gamble.
Step 2: Michael lost all of his money and had to go home broke.
Step 3: Michael had a bad trip to the casino.
Step 4: Michael won big at the slot machine.
Step 5: Michael won"
2739d4b2-9721-4239-a6ff-6e04d45c4bbe-1,"
A. I did not wait to get going, I just jumped in.
B. Today was just another day.
A. I did not wait to get going, I just jumped in.
B. Today was just another day.
A. I did not wait to get going, I just jumped"
5667a8aa-a8e0-4055-bdf9-8815e6fe1145-1,"
A. I used to make coffee in the middle of my mourning routine.
B. The coffee pot broke and I had to replace it.
A. I used to make coffee in the middle of my mourning routine.
B. The coffee pot broke and I had to replace it.
A"
4a68a83f-5da7-4b52-95f4-a6aeaa33927b-1,"
Step 1: Kelly met one direction.
Step 2: Kelly wanted backstage passes to meet the band.
Step 3: Kelly met one direction and wanted backstage passes to meet the band.
Step 4: Kelly met one direction and wanted backstage passes to meet the band.
"
8cd5c023-1bd7-4821-bd29-26bb06a35ddf2,"
A. They went to see animals at the zoo but couldn't decide.
B. They went to see animals at the shelter but couldn't decide.
A. They went to see animals at the zoo but couldn't decide.
B. They went to see animals at the shelter but couldn"
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d31,"
Step 1: I threw up from the pumpkin bars once.
Step 2: I never ate pumpkin bars after that day.
Step 3: I threw up from the pumpkin bars many times.
Step 4: I threw up from the pumpkin bars many times.
Step 5: I"
03e9bbf0-9783-4c1a-b00c-625d3a59805d-1,"
A. Mike felt lonely while eating.
B. Mike found some leftover papers on the counter.
A. Mike felt lonely while eating. B. Mike found some leftover papers on the counter.
A. Mike felt lonely while eating. B. Mike found some leftover papers on the counter."
0f797de2-3d82-46d1-a370-c278a36ad7851,"
A. Megan wants to stop doing drugs for her family.
B. Megan finally decided to pay for cheaper street drugs.
A. Megan wants to stop doing drugs for her family. B. Megan finally decided to pay for cheaper street drugs.
A. Megan wants to stop doing drugs for her family."
bf8b9f77-692d-4873-a7e5-30dec273eb4d2,"
A. May chose her classes carefully.
B. May toured the city during the summer and was very impressed.
A. May chose her classes carefully. B. May toured the city during the summer and was very impressed.
A. May chose her classes carefully. B. May toured the city during the"
963d3ae8-43ee-424f-afd2-9d225624201f-1,"
A. Toni drank some tea and went to bed late.
B. Toni went for a long run before bed.
A. Toni drank some tea and went to bed late.
B. Toni went for a long run before bed.
A. Toni drank some tea and went"
5348daea-021f-4210-92ae-a0a52b576705-1,"
Step 1: The date went really well for Toby and Kendra.
Step 2: Toby took Kendra to an ice cream parlor for their first date.
Step 3: The pair made plans for a second date the following weekend!
Step 4: The date went horribly for"
f15ddccd-7a21-45c3-ab3f-241ef3b2e4d32,"
A. My mother taught me how to make the fruitcake using her recipe.
B. She told me yogurt was an ingredient.
A. My mother taught me how to make the fruitcake using her recipe. B. She told me yogurt was an ingredient.
A. My mother"
547e9231-6b71-4cd3-8a82-0d597c315a4a-1,"
Step 1: We have a context.
Step 2: We have a hypothesis choice.
Step 3: We have a hypothesis.
Step 4: We have a hypothesis choice.
Step 5: We have a hypothesis.
Step 6: We have a hypothesis choice.
"
be0c5b83-6c8d-40a3-8e0e-e2d9f159f419-1,"
A. Shawn burned down his house.
B. He decided to buy a Christmas Tree and decorate.
A. Shawn burned down his house. B. He decided to buy a Christmas Tree and decorate.
A. Shawn burned down his house. B. He decided to buy a Christmas Tree and"
8cd70d09-7bad-44ce-8681-101645b5e825-1,"
Step 1: Francis had given up on finding a lover.
Step 2: Francis has not given up on finding a lover.
Step 3: Francis has not given up on finding a lover.
Step 4: Francis has not given up on finding a lover.
Step 5:"
76fcb242-5a93-4526-a0d0-1e1daaa6c704-1,"
Step 1: Stacey and her mom ate cookies.
Step 2: Stacey and her mom baked cookies.
Step 3: Stacey and her mom baked cookies.
Step 4: Stacey and her mom baked cookies.
Step 5: Stacey and her mom baked cookies"
36a44b73-6d19-4fee-bd61-fc600e874248-1,"
A. The jeep broke up and I got stranded all alone.
B. It was so much fun, but i was alone.
A. The jeep broke up and I got stranded all alone.
B. It was so much fun, but I was alone.
A. The jeep"
67041fdb-5cfa-48f4-9ab9-130a7b1be603-1,"
Step 1: Susan went on a bike ride with a friend.
Step 2: She landed hard on the ground breaking her arm.
Step 3: She steered to get out of the way of a dog.
Step 4: She hit a rock and stayed on her bike.
"
59888f4b-4a47-45cc-aaa6-c4a7a7dfe8dc-1,"
A. I brought her home a cat because I couldn't afford to buy her a car.
B. She bought a cat to congratulate her.
A. I brought her home a cat because I couldn't afford to buy her a car.
B. She bought a cat to congratulate"
18911d29-c93d-4721-aaee-4d395926e7a8-1,"
A. Gina wanted to walk home with Jamie to help him.
B. Jamie was right behind Gina while they were walking.
A. Gina wanted to walk home with Jamie to help him. B. Jamie was right behind Gina while they were walking.
A. Gina wanted to"
cd2880c6-3e1c-41c5-854d-3b73e2a0ebe21,"
Step 1: Kelly was rushing to get to her flight on time.
Step 2: Kelly boarded the plane.
Step 3: Kelly got there at the nick of time.
Step 4: Kelly boarded the plane.
Step 5: Kelly got there at the nick of"
106f0b8f-a795-4388-9f40-fe7134bc2946-1,"
Step 1: Dave gave his dogs a treat and they loved it.
Step 2: Dave tried it on his dog and got bitten.
Step 3: Dave gave his dogs a treat and they loved it.
Step 4: Dave tried it on his dog and got bitten."
bc18f305-4f3b-4296-a5ff-702dd706322c1,"
Step 1: Emily took her child to the zoo.
Step 2: Emily's child walked closer to the lions.
Step 3: Emily's child was fascinated by the lion's roar.
Step 4: Emily was excited to see the lions.
Step 5"
a10dc43b-43f8-4702-8286-c20d23b68336-1,"
Step 1: Earl considered himself a night owl.
Step 2: Eventually he got a night job instead.
Step 3: Earl could not go to bed early as he enjoyed staying up.
Step 4: He couldn't stay asleep during day jobs.
Step 5:"
20976b75-b949-4b8a-be45-c733eb7f6539-1,"
Reggie woke up hungry one morning.
He cooked the eggs until they were no longer runny.
He went to make eggs and burned them.
A. Reggie looked in the fridge and found eggs.
B. He went to make eggs and burned them.
A. Reggie looked in"
bf8b9f77-692d-4873-a7e5-30dec273eb4d1,"
Step 1: May was accepted to college in Fredonia.
Step 2: May dropped out of school.
Step 3: May aced all of her classes her freshman year.
Step 4: May was accepted to college in Fredonia.
Step 5: May dropped out of"
95bb42a0-a3f4-462a-8264-329cb40c772d-1,"
Step 1: Jill was excited to ski for the first time.
Step 2: Jill wanted to know what wildlife lived at the ski mountain.
Step 3: Jill heard their rain bunnies on the slopes.
Step 4: Jill wanted to know what wildlife lived at the ski mountain"
0d976432-4844-4b5a-b9e0-7af3c174848e-1,"
A. He saw a horrible crime.
B. He was adored by several classmates at school.
A. He saw a horrible crime. B. He was adored by several classmates at school.
A. He saw a horrible crime. B. He was adored by several classmates at school."
c8ac86f3-0c8d-430f-96a8-d1374c9c37ff-1,"
A. Jan took logged all of the inappropriate texts her boss sent her.
B. Jan's coworker offered to be her wingwoman.
A. Jan took logged all of the inappropriate texts her boss sent her. B. Jan's coworker offered to be her wingwoman.
"
84c4e8a7-a4b4-4ae9-b9a0-9905ea57bc54-1,"
Step 1: Walt wanted some ice cream.
Step 2: He went to the store to get some.
Step 3: When he opened up the ball, he ate his delicious ice cream.
Step 4: He ate his delicious ice cream.
Step 5: He ate his"
b751714c-5e34-43ac-8e70-c675bddc613c-1,"
First, we have to decide what the context is.
The context is: My mother and I were hit by lightning. Then we drove away.
The context is: My mother and I were hit by lightning. Then we drove away.
The context is: My mother and I were hit by lightning."
b95911a4-c63d-4ec9-ac5b-37c8b579fcd2-1,"
Step 1: Nate was failing a lot of classes.
Step 2: Soon they were married.
Step 3: Nate was preoccupied with his pregnant girlfriend.
Step 4: Nate was failing a lot of classes.
Step 5: Nate was preoccupied with his pregnant girlfriend."
9ea7e913-c437-47e6-9b53-2bf8b324f7e2-1,"
Step 1: The woman was walking outside of a mall.
Step 2: People looked at her like she was crazy.
Step 3: The woman was wearing professional clothes and fancy shoes.
Step 4: She thought she saw a crime taking place in the parking lot, but she was"
0a14cd78-254b-4adf-9ca2-da0f4cb6328b-1,"
A. The cat was in my yard.
B. The cat sprayed Jeff's front step where his jacket was laying.
A. The cat was in my yard. B. The cat sprayed Jeff's front step where his jacket was laying.
A. The cat was in my yard"
f80d9033-bd3c-49c1-bcf1-6ec9e92f9b83-1,"
Step 1: Kiki practiced the piano a lot.
Step 2: Kiki practiced the piano a lot.
Step 3: Kiki practiced the piano a lot.
Step 4: Kiki practiced the piano a lot.
Step 5: Kiki practiced the piano a lot"
c230bca2-9977-4ca5-9011-3d56a42b5f88-1,"
A. Rick saw a child struggling in the water and walked over to help.
B. Rick saw a child drop its toy in the pool and Rich picked it up and gave it to the child.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation.
The"
bf00abac-541b-4853-8e54-f1ef31f5f356-1,"
Step 1: Jake was walking home from his college class.
Step 2: Jake brought a pizza slice to the man who was grateful for the meal.
Step 3: Jake encountered a man who was quite well off on the street.
Step 4: Jake spotted a hungry old man on"
384e9eda-8f62-480d-9988-4efb26155f35-1,"
The American gave a salute and dropped a lit match on the flag.
The American hoisted the flag on a tall flag pole.
The American gave a speech stating his disapproval of the current state of affairs.
The American gave a salute and dropped a lit match on the flag.
The"
ea08ac25-ece5-45f9-bebf-3c02eb6940cf-1,"
A. It began to rain, so we ran back to the car.
B. We had fun and he didn't know how to leave.
A. It began to rain, so we ran back to the car.
B. We had fun and he didn't know how to leave."
896a1b17-2dd1-4f0e-9168-7146939f6dcd2,"
Step 1: Fred's boss called him into the office.
Step 2: Fred's coworker who saw him assault his boss called the police.
Step 3: Fred had a history of being violent.
Step 4: Fred told the boss he was fired effective immediately and"
6e1aafc7-0f31-410c-9040-9bb325450602-1,"
Step 1: Kimmy wanted to buy tickets for herself for a concert.
Step 2: She made enough money for the concert.
Step 3: She worked one day to afford it.
Step 4: She sold some jewelry she never wore to a second hand store.
Step "
d12c4ece-930d-40d6-85ea-9112993f3e331,"
Step 1: I went swimming with some friends.
Step 2: My birthday was the best day ever.
Step 3: It was a party for my seventh birthday.
Step 4: It was a party for my eighteenth birthday.
Step 5: It was a party for"
556671c0-e3b5-4407-807b-bc80c524130d-1,"
Step 1: Jamie wanted to buy her first car.
Step 2: She drove out of the car lot filled with joy!
Step 3: She drove out of the car lot filled with joy!
Step 4: She drove out of the car lot filled with joy!
Step "
97b6825e-0468-4ce7-bbe9-6eb331a6009c-1,"
A. Amy slipped on the floor and had to go to the hospital.
B. Amy did not have socks.
A. Amy slipped on the floor and had to go to the hospital.
B. Amy did not have socks.
A. Amy slipped on the floor and had to go to the"
557955c2-8f27-45e0-ae02-498f57755531-1,"
Step 1: Susan was at the pawn shop.
Step 2: Susan eventually became very proficient at tap dancing.
Step 3: Susan bought tap shoes.
Step 4: Susan decided to buy some combat boots.
Step 5: Susan bought tap shoes.
Step "
7e8df602-b632-4595-967c-fe982b643f3b-1,"
Step 1: Katy got so mad one day that she ran away from the zoo.
Step 2: Katy got so mad one day that she ran away from her parents.
Step 3: Katy got so mad one day that she ran away from the zoo and then she ran away from her parents"
70629f1f-b629-40b9-8783-ea04509127a0-1,"
A. We were rained on!
B. We met a golden retriever puppy and he played with us.
A. We were rained on! B. We met a golden retriever puppy and he played with us.
A. We were rained on! B. We met"
6015f416-2703-4d14-937f-5612841d04452,"
Step 1: Joe woke up too early.
Step 2: Joe went back to sleep.
Step 3: Joe stretched as he rolled over in bed.
Step 4: Joe went back to sleep.
Step 5: Joe stretched as he rolled over in bed.
Step "
69742aaa-ec73-4354-9de2-2ee4f8e19ec11,"
A. Steve's wife just moved out of the house.
B. Steve's wife just moved into the house.
A. Steve's wife just moved out of the house.
B. Steve's wife just moved into the house.
A. Steve's wife just moved out"
c350c383-6703-4c81-b61e-1f403481a42b-1,"
Step 1: Lucas told everyone that he would never eat a peanut.
Step 2: Lucas decided that he would never try something new again.
Step 3: Lucas tried the peanut and hated it just like he thought he would.
Step 4: Lucas decided that he would never"
66b40ad4-25b1-4c11-b71f-caaf7680df20-1,"
A. We decided to work separately.
B. I told my wife we should work at the same company.
A. We decided to work separately. B. I told my wife we should work at the same company.
A. We decided to work separately. B. I told my wife we should"
530a7f9f-c8b5-4b26-a5f5-0bf05d79d08e-1,"
A. Animals began to eat her plants, so Tish observed their behavior.
B. There was a bad storm by Trish's garden.
A. Animals began to eat her plants, so Tish observed their behavior.
B. There was a bad storm by Trish's garden."
c2e81e75-d199-44cc-a0a1-761886e7c0a6-1,"
A. Jake was going to go out this weekend even though his car wouldn't start.
B. Jake was looking forward to meeting friends at the end of the week.
A. Jake was going to go out this weekend even though his car wouldn't start.
B. Jake was looking forward"
dbd846d5-0a95-4532-9c0a-89d1c1f2df6b-1,"
Step 1: The abductive reasoning task is to choose the more likely explanation from a given pair of hypotheses choices.
Step 2: The abductive reasoning task is to choose the more likely explanation from a given pair of hypotheses choices.
Step 3: The abductive reasoning task is to"
bede6f42-250a-44ba-8ffe-cf50afb11cd4-1,"
Step 1: Miley's mother asked her to write a Christmas list.
Step 2: Miley waited and dreamed of what she would get for Christmas.
Step 3: Miley's mother asked her to write a Christmas list.
Step 4: Miley waited and dreamed"
2b942f74-386c-4e70-acea-cd8c3722370f-1,"
Step 1: Jaiden went outside to play basketball.
Step 2: Jaiden felt more nervous.
Step 3: Jaiden went outside to play basketball.
Step 4: Jaiden felt more nervous.
Step 5: Jaiden went outside to play basketball.
Step "
631e2896-258e-4ddb-af34-b52757f8415c-1,"
A. The smart watch got wet and stopped working.
B. Rick remembered to sync his smart watch before leaving.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation.
The first hypothesis is the most likely explanation.
The second hypothesis is the least likely explanation"
75f6ea49-b31c-4577-aa20-f493e0eba1c8-1,"
A. Jason saw an exotic looking poodle walking along the beach. He had to know who she was.
B. Jason was surprised to see a brown haired girl nearby.
A. Jason saw an exotic looking poodle walking along the beach. He had to know who she was.
"
8d184896-38b8-4cde-91f5-b17cb2390d3d1,"
Step 1: Daniel got home from a night out on the town.
Step 2: Daniel went to check the breaker box.
Step 3: Daniel could not turn on the lights at home.
Step 4: The toilet at Daniel's house was not working.
Step "
8227f76a-cb7a-48eb-8a69-c715e91fb072-1,"
A. I accidentally dumped way too much pepper on it.
B. I added some salt to the food.
A. I accidentally dumped way too much pepper on it. B. I added some salt to the food.
A. I accidentally dumped way too much pepper on it. B. I added"
c0dcff62-44e2-422a-aaef-923beb31b1a3-1,"
A. The cop told Dan his license plate was edible.
B. Dan knew he was being pulled over for the loose taillight cover.
A. The cop told Dan his license plate was edible. B. Dan knew he was being pulled over for the loose taillight cover.
"
