story_id,answer
87aa0983-9b84-48b1-86ff-160b1567487c-1,"
The correct scenario is A.

Scenario A: I was playing basketball with my friends. I was the only one on the court. I made a basket. Scenario B: I was playing basketball with my friends. I was the only one on the court. I made a basket.
The correct"
dfc8584e-13fe-4e26-bdf6-2485e90ef29d-1,"
The correct scenario is A.

Scenario A: Nate had the summer off before college. Nate spent the summer traveling and partying. Nate's last summer before college was a total blast! Scenario B: Nate had the summer off before college. Nate decided to spend the entire summer working in the Mines"
bac4a9c0-be9c-41d3-bb5c-474a1aa7a78b-1,"
The correct scenario is Scenario B.

Scenario A: Anne decided to cut out carbs from her diet. Anne started losing weight and soon wasn't very hungry. After a few weeks she did not even miss carbs at all! Scenario B: Anne decided to cut out carbs from her diet."
e8a69a76-5ab1-4b00-b442-80d33c6e12cd-1,"
The correct scenario is A."
78dd77c9-99e3-4977-89d7-bfd8f8de1504-1,"
The correct scenario is B.

Scenario A: Jason wants to learn kung fu. Jason found a cartoon book at the library. Jason realizes that reading a book is not a good way to learn kung-fu. Scenario B: Jason wants to learn kung fu. After reading many books"
8d12101b-5a38-4bde-9366-c9ca32514f9c-1,"
The correct scenario is B."
a16ce8ce-9f32-441a-8113-6997d8988ece-1,"
The correct scenario is A."
a447195b-bd1c-4793-9b9c-c2d5ab7806f9-1,"
The correct scenario is Scenario A."
903210da-9c27-4efb-b546-b3af848a153d-1,"
The correct scenario is Scenario B.

Next, I will give you an example for test. Scenario A: A man was walking down the street. He was hit by a car. The man was killed. Scenario B: A man was walking down the street. He was hit by a car"
582c4ec8-b1d4-4eac-a080-bc5e37e609cd-1,"
The correct scenario is B."
67079c75-ce1f-4ff4-92ed-220f3cc1cde4-1,"
The correct scenario is B.

Scenario A: I was four years old the first time I was ever bitten by a dog. I had a corgie bite, causing me hallucinations. I tugged it, and the Dalmatian gave me some spots of my own. Scenario B: I was"
bb63a874-2cf1-4ffc-8f75-b403c0b26be52,"
The correct scenario is A."
5387f126-41d3-4e7d-9027-72cf0a6c52a0-1,"
Scenario A is the more likely scenario."
3a317d9a-06fd-4363-80d8-e0be38097d0d-1,"
The correct scenario is B.

Scenario A: Frank was hauling bowling balls in his truck. One of the balls came loose and he lost control of the truck. Frank screamed as he tumbled into the water. Scenario B: Frank was hauling bowling balls in his truck. Frank's friend truck went"
4140e766-050c-4811-887e-8b12e2be190d-1,"
The correct scenario is A.

Scenario A: Dan was digging in his yard to put in an extension to his home. Dan hit a sewage pipe. When he sniffed the air he realized he'd struck a sewage pipe. Scenario B: Dan was digging in his yard to put in an extension"
96996797-6369-4709-9841-6dae421189f6-1,"
The correct scenario is A."
dffc1dd8-40d1-4ad8-b437-b154915783c8-1,"
The correct scenario is A.

Scenario A: Fran drove along the winding lane. Along the winding lane she saw apple trees. She'd decided she'd make a stew out of it when she got home. Scenario B: Fran drove along the winding lane. Fran found some road kill and"
2f421a84-5dbc-4fa8-a421-b0d0113de02a-1,"
The correct scenario is A."
eb7720a7-c234-4cb6-ae50-55768d70d5aa-1,"
The correct scenario is Scenario A."
22577f17-e744-4fa0-a8e7-ae764842498c-1,"
The correct scenario is A.

Scenario A: Gina's brothers raced each other to the one in the basement. Scenario B: Gin's brothers raced each other to the one in the basement.
The correct scenario is A.

Scenario A: Gina's brothers raced each"
9aa8eeaa-d8e4-4989-bd67-5353513a8140-1,"
The correct scenario is Scenario A."
9fa532d3-daeb-4269-8f04-71a0b6035fb9-1,"
The correct scenario is A.

Scenario A: Julie decided to go out for a walk. Julie read a flyer attached to a pole. It was about a lost dog. During her walk Julie found the dog and returned it to its owner. Scenario B: Julie decided to go out for a walk"
ff38d303-fc0d-498f-9342-e193a85cffb5-1,"
The correct scenario is A."
e2930580-f202-4f81-b00a-57082c17fd9c-1,"
The correct scenario is A.

Scenario A: Cynthia really loved video games. She quit video games and started walking. After just a few months she had lost the weight. Scenario B: Cynthia really loved video games. She played for hours every day. After just a few months she had lost the"
40ceae28-9539-4b79-94b8-bc3314d479a6-1,"
The correct scenario is B.

Scenario A: Jorge has always wanted to learn his father's famous recipe for beans. Jorge asked his father, and was taught the ingredient. Jorge is proud he has finally learned his father's recipe for beans. Scenario B: Jorge has always wanted to learn"
71770122-dc12-4954-84d5-273e789321e32,"
The correct scenario is Scenario A."
dd50749a-103a-4348-80e7-f23d88bad4a9-1,"
The correct scenario is Scenario A."
3b2a458e-3967-4eb6-acf9-1b56c6fc23b0-1,"
The correct scenario is Scenario B.

Scenario A: I wanted to do a different thing than the usual. I rented a comedy instead of a horror movie. I brought the movie home and watched the whole thing. Scenario B: I wanted to do a different thing than the usual. I decided"
b3af4672-cc20-4816-84c9-6fd833b9beb1-1,"
The correct scenario is A.

Scenario A: The man was sitting on the plane. The man saw a kid that needed help there. The man reported the kid to the flight attendants. Scenario B: The man was sitting on the plane. A kid sat next to the man and spilled a drink"
4c71ab31-31f0-4ada-900b-c61b996a15b2-1,"
The correct scenario is B.

Scenario A: Bill was late on the rent. Bill was told to pay or move. He chose to move out. Scenario B: Bill was late on the rent. Bill was told to pay or move. He chose to move out.

Next, I"
5d0297ab-96c9-48ba-a71d-0da91c57a8ff-1,"
The correct scenario is A."
23a791d7-8563-416c-8768-c29df02554bc-1,"
The correct scenario is Scenario B."
eb3c880b-ca0e-41a4-aa8c-3e602ed593c01,"
The correct scenario is Scenario A."
44a68868-fdf2-4be3-93ad-86599c342dce-1,"
The correct scenario is A.

Scenario A: Susan was a vegetarian. She had been a vegetarian for 10 years. She was a vegetarian for 10 years. She was a vegetarian for 10 years. Scenario B: Susan was a vegetarian. She had been a vegetarian for 10 years"
aa917ce0-43a2-46ff-bd14-5d5bdd574263-1,"
The correct scenario is B.

Scenario A: I was a wicked man. I was a good man. I was a wicked man. I was a good man. I was a wicked man. I was a good man. I was a wicked man. I was a good man. I was a"
237f8984-25de-4a4c-99a8-a99219f1d605-1,"
The correct scenario is B.

Scenario A: We brought our cat home to our new house. Our neighbor doesn't like our cat because it gets in his yard. Now he comes to our house to yell and his at us. Scenario B: We brought our cat home to our new house"
fd33b1f3-83ad-4947-995e-9d1d69be059f-1,"
The correct scenario is A."
8004aded-0087-4023-9f7e-745ec3242ac1-1,"
The correct scenario is A.

Scenario A: Liam wanted a new video game. He saved for ten minutes for a new game. He was very proud of himself for saving his money. Scenario B: Liam wanted a new video game. Liam worked odd jobs in his spare time. He was very"
7f6a1dae-f4db-4cf3-8038-f4004c17dca1-1,"
The correct scenario is A.

Scenario A: Kelly was playing a soccer match for her University. Kelly was able to score two goals at the beginning. It was a close game, but without Kelly, the team was unable to win. Scenario B: Kelly was playing a soccer match for her University"
7e890b79-8562-4a6a-bf77-529ee329742a-1,"
The correct scenario is B.

Scenario A: Adam forgot his lunch at home. His friends felt bad and gave him some of their food. Adam was happy at his friend's generosity. Scenario B: Adam forgot his lunch at home. His friends ate lunch. Adam was happy at his friend"
22dfb240-ff3c-4135-9e91-444e44ec1228-1,"
The correct scenario is A."
3a52741d-0dd9-4b2f-b79d-9449e3dc98cd-1,"
The correct scenario is A.

Scenario A: Tina couldn't stop whining about becoming broke. Tina's parents felt sorry for her. When the envelope was opened, several hundred dollars appeared. Scenario B: Tina couldn't stop whining about becoming broke. Tina's parents felt sorry for"
da41ccbd-0303-40c2-a26e-9a718a278df9-1,"
The correct scenario is Scenario B."
2333fbe7-309c-413d-8cd4-67ce80eaca90-1,"
The correct scenario is Scenario A."
d0c35739-190f-4945-8bfa-b700c6889a1b-1,"
The correct scenario is A.

Scenario A: Randy was at an Indian restaurant. Randy did not enjoy the food. Randy had never eaten anything so good before. Scenario B: Randy was at an Indian restaurant. Randy was trying Indian food for the first time. Randy had never eaten anything so good"
e4ad0eb1-ed43-4f41-923c-8f1b272570ef-1,"
The correct scenario is A.

Scenario A: Harry went to the sock every day to relax and watch the sunset. Harry met no one at the sock. He talked with her instead and made a good friend. Scenario B: Harry went to the sock every day to relax and watch the sunset."
89e7a088-44f7-4180-b8fe-7e150e962a38-1,"
The correct scenario is Scenario A.

Scenario A: Jason saw a huge crowd gathered in a park. The crowd was watching two people singing. But fights broke out in the crowd too and surprised Jason. Scenario B: Jason saw a huge crowd gathered in a park. on the street nearby there"
9009a9c5-a5ea-4281-b5ad-1d413bc27ee9-1,"
The correct scenario is A."
1d1c4d93-6915-4282-844c-83ae6a375840-1,"
The correct scenario is Scenario A."
fca2884b-c607-4b59-a086-2ba021ca0d53-1,"
Scenario A: I went with my girlfriend to Jamaica. We had a lot of fun in New York. We cannot wait to go back. Scenario B: I went with my girlfriend to Jamaica. We relaxed on the beach for a week. We cannot wait to go back."
87c3e711-0f34-4620-b1d7-c33436b52546-1,"
The correct scenario is A.

Scenario A: I was playing on top of the monkey bars one day. but I slipped and bruised my arm. I had to go to the hospital. Scenario B: I was playing on top of the monkey bars one day. I fell off and broke my arm"
6bdd3686-e49e-4e83-869d-bed942e3e83d-1,"
The correct scenario is A.

Scenario A: Michael always loved to gamble. Michael had a bad trip to the casino. Michael lost all of his money and had to go home broke. Scenario B: Michael always loved to gamble. Michael won big at the slot machine. Michael lost all of his"
2739d4b2-9721-4239-a6ff-6e04d45c4bbe-1,"
The correct scenario is A.

Scenario A: I was so excited to go to the beach. I grabbed my backpack and step into the unknown. Scenario B: I was so excited to go to the beach. Today was just another day. I grabbed my backpack and step into the unknown.
"
